DATE,DISTRICT,STATE,CIRCUIT,CHAP_12
1987-03-31,SOUTH DAKOTA,SOUTH DAKOTA,EIGHTH CIRCUIT,204
1987-03-31,TENNESSEE EASTERN,TENNESSEE,SIXTH CIRCUIT,21
1987-03-31,TENNESSEE MIDDLE,TENNESSEE,SIXTH CIRCUIT,9
1987-03-31,TENNESSEE WESTERN,TENNESSEE,SIXTH CIRCUIT,54
1987-03-31,TEXAS EASTERN,TEXAS,FIFTH CIRCUIT,6
1987-03-31,TEXAS NORTHERN,TEXAS,FIFTH CIRCUIT,71
1987-03-31,TEXAS SOUTHERN,TEXAS,FIFTH CIRCUIT,7
1987-03-31,TEXAS WESTERN,TEXAS,FIFTH CIRCUIT,8
1987-03-31,UTAH,UTAH,TENTH CIRCUIT,22
1987-03-31,VERMONT,VERMONT,SECOND CIRCUIT,0
1987-03-31,VIRGIN ISLANDS,VIRGIN ISLANDS,THIRD CIRCUIT,0
1987-03-31,VIRGINIA EASTERN,VIRGINIA,FOURTH CIRCUIT,12
1987-03-31,VIRGINIA WESTERN,VIRGINIA,FOURTH CIRCUIT,4
1987-03-31,WASHINGTON EASTERN,WASHINGTON,NINTH CIRCUIT,43
1987-03-31,WASHINGTON WESTERN,WASHINGTON,NINTH CIRCUIT,2
1987-03-31,WEST VIRGINIA NORTHERN,WEST VIRGINIA,FOURTH CIRCUIT,2
1987-03-31,WEST VIRGINIA SOUTHERN,WEST VIRGINIA,FOURTH CIRCUIT,0
1987-03-31,WISCONSIN EASTERN,WISCONSIN,SEVENTH CIRCUIT,17
1987-03-31,WISCONSIN WESTERN,WISCONSIN,SEVENTH CIRCUIT,66
1987-03-31,WYOMING,WYOMING,TENTH CIRCUIT,26
1987-06-30,ALABAMA MIDDLE,ALABAMA,ELEVENTH CIRCUIT,10
1987-06-30,ALABAMA NORTHERN,ALABAMA,ELEVENTH CIRCUIT,26
1987-06-30,ALABAMA SOUTHERN,ALABAMA,ELEVENTH CIRCUIT,2
1987-06-30,ALASKA,ALASKA,NINTH CIRCUIT,1
1987-06-30,ARIZONA,ARIZONA,NINTH CIRCUIT,-1
1987-06-30,ARKANSAS,ARKANSAS,EIGHTH CIRCUIT,0
1987-06-30,ARKANSAS EASTERN,ARKANSAS,EIGHTH CIRCUIT,29
1987-06-30,ARKANSAS WESTERN,ARKANSAS,EIGHTH CIRCUIT,8
1987-06-30,CALIFORNIA CENTRAL,CALIFORNIA,NINTH CIRCUIT,2
1987-06-30,CALIFORNIA EASTERN,CALIFORNIA,NINTH CIRCUIT,43
1987-06-30,CALIFORNIA NORTHERN,CALIFORNIA,NINTH CIRCUIT,2
1987-06-30,CALIFORNIA SOUTHERN,CALIFORNIA,NINTH CIRCUIT,-1
1987-06-30,COLORADO,COLORADO,TENTH CIRCUIT,41
1987-06-30,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,0
1987-06-30,DELAWARE,DELAWARE,THIRD CIRCUIT,1
1987-06-30,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC CIRCUIT,0
1987-06-30,FLORIDA MIDDLE,FLORIDA,ELEVENTH CIRCUIT,-10
1987-06-30,FLORIDA NORTHERN,FLORIDA,ELEVENTH CIRCUIT,10
1987-06-30,FLORIDA SOUTHERN,FLORIDA,ELEVENTH CIRCUIT,-5
1987-06-30,GEORGIA MIDDLE,GEORGIA,ELEVENTH CIRCUIT,39
1987-06-30,GEORGIA NORTHERN,GEORGIA,ELEVENTH CIRCUIT,5
1987-06-30,GEORGIA SOUTHERN,GEORGIA,ELEVENTH CIRCUIT,13
1987-06-30,GUAM,GUAM,NINTH CIRCUIT,0
1987-06-30,HAWAII,HAWAII,NINTH CIRCUIT,0
1987-06-30,IDAHO,IDAHO,NINTH CIRCUIT,71
1987-06-30,ILLINOIS CENTRAL,ILLINOIS,SEVENTH CIRCUIT,71
1987-06-30,ILLINOIS NORTHERN,ILLINOIS,SEVENTH CIRCUIT,14
1987-06-30,ILLINOIS SOUTHERN,ILLINOIS,SEVENTH CIRCUIT,21
1987-06-30,INDIANA NORTHERN,INDIANA,SEVENTH CIRCUIT,38
1987-06-30,INDIANA SOUTHERN,INDIANA,SEVENTH CIRCUIT,47
1987-06-30,IOWA NORTHERN,IOWA,EIGHTH CIRCUIT,41
1987-06-30,IOWA SOUTHERN,IOWA,EIGHTH CIRCUIT,51
1987-06-30,KANSAS,KANSAS,TENTH CIRCUIT,84
1987-06-30,KENTUCKY EASTERN,KENTUCKY,SIXTH CIRCUIT,15
1987-06-30,KENTUCKY WESTERN,KENTUCKY,SIXTH CIRCUIT,42
1987-06-30,LOUISIANA EASTERN,LOUISIANA,FIFTH CIRCUIT,0
1987-06-30,LOUISIANA MIDDLE,LOUISIANA,FIFTH CIRCUIT,10
1987-06-30,LOUISIANA WESTERN,LOUISIANA,FIFTH CIRCUIT,86
1987-06-30,MAINE,MAINE,FIRST CIRCUIT,4
1987-06-30,MARYLAND,MARYLAND,FOURTH CIRCUIT,1
