DATE,DISTRICT,STATE,CIRCUIT,CHAP_12
1996-06-30,ARIZONA,ARIZONA,NINTH CIRCUIT,0
1996-06-30,ARKANSAS,ARKANSAS,EIGHTH CIRCUIT,0
1996-06-30,ARKANSAS EASTERN,ARKANSAS,EIGHTH CIRCUIT,1
1996-06-30,ARKANSAS WESTERN,ARKANSAS,EIGHTH CIRCUIT,0
1996-06-30,CALIFORNIA CENTRAL,CALIFORNIA,NINTH CIRCUIT,2
1996-06-30,CALIFORNIA EASTERN,CALIFORNIA,NINTH CIRCUIT,16
1996-06-30,CALIFORNIA NORTHERN,CALIFORNIA,NINTH CIRCUIT,3
1996-06-30,CALIFORNIA SOUTHERN,CALIFORNIA,NINTH CIRCUIT,0
1996-06-30,COLORADO,COLORADO,TENTH CIRCUIT,4
1996-06-30,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,1
1996-06-30,DELAWARE,DELAWARE,THIRD CIRCUIT,2
1996-06-30,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC CIRCUIT,0
1996-06-30,FLORIDA MIDDLE,FLORIDA,ELEVENTH CIRCUIT,5
1996-06-30,FLORIDA NORTHERN,FLORIDA,ELEVENTH CIRCUIT,0
1996-06-30,FLORIDA SOUTHERN,FLORIDA,ELEVENTH CIRCUIT,0
1996-06-30,GEORGIA MIDDLE,GEORGIA,ELEVENTH CIRCUIT,8
1996-06-30,GEORGIA NORTHERN,GEORGIA,ELEVENTH CIRCUIT,0
1996-06-30,GEORGIA SOUTHERN,GEORGIA,ELEVENTH CIRCUIT,3
1996-06-30,GUAM,GUAM,NINTH CIRCUIT,0
1996-06-30,HAWAII,HAWAII,NINTH CIRCUIT,0
1996-06-30,IDAHO,IDAHO,NINTH CIRCUIT,3
1996-06-30,ILLINOIS CENTRAL,ILLINOIS,SEVENTH CIRCUIT,7
1996-06-30,ILLINOIS NORTHERN,ILLINOIS,SEVENTH CIRCUIT,0
1996-06-30,ILLINOIS SOUTHERN,ILLINOIS,SEVENTH CIRCUIT,5
1996-06-30,INDIANA NORTHERN,INDIANA,SEVENTH CIRCUIT,0
1996-06-30,INDIANA SOUTHERN,INDIANA,SEVENTH CIRCUIT,0
1996-06-30,IOWA NORTHERN,IOWA,EIGHTH CIRCUIT,4
1996-06-30,IOWA SOUTHERN,IOWA,EIGHTH CIRCUIT,1
1996-06-30,KANSAS,KANSAS,TENTH CIRCUIT,13
1996-06-30,KENTUCKY EASTERN,KENTUCKY,SIXTH CIRCUIT,2
1996-06-30,KENTUCKY WESTERN,KENTUCKY,SIXTH CIRCUIT,2
1996-06-30,LOUISIANA EASTERN,LOUISIANA,FIFTH CIRCUIT,2
1996-06-30,LOUISIANA MIDDLE,LOUISIANA,FIFTH CIRCUIT,0
1996-06-30,LOUISIANA WESTERN,LOUISIANA,FIFTH CIRCUIT,16
1996-06-30,MAINE,MAINE,FIRST CIRCUIT,0
1996-06-30,MARYLAND,MARYLAND,FOURTH CIRCUIT,0
1996-06-30,MASSACHUSETTS,MASSACHUSETTS,FIRST CIRCUIT,0
1996-06-30,MICHIGAN EASTERN,MICHIGAN,SIXTH CIRCUIT,7
1996-06-30,MICHIGAN WESTERN,MICHIGAN,SIXTH CIRCUIT,4
1996-06-30,MINNESOTA,MINNESOTA,EIGHTH CIRCUIT,7
1996-06-30,MISSISSIPPI NORTHERN,MISSISSIPPI,FIFTH CIRCUIT,5
1996-06-30,MISSISSIPPI SOUTHERN,MISSISSIPPI,FIFTH CIRCUIT,0
1996-06-30,MISSOURI EASTERN,MISSOURI,EIGHTH CIRCUIT,1
1996-06-30,MISSOURI WESTERN,MISSOURI,EIGHTH CIRCUIT,6
1996-06-30,MONTANA,MONTANA,NINTH CIRCUIT,2
1996-06-30,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,28
1996-06-30,NEVADA,NEVADA,NINTH CIRCUIT,0
1996-06-30,NEW HAMPSHIRE,NEW HAMPSHIRE,FIRST CIRCUIT,0
1996-06-30,NEW JERSEY,NEW JERSEY,THIRD CIRCUIT,1
1996-06-30,NEW MEXICO,NEW MEXICO,TENTH CIRCUIT,2
1996-06-30,NEW YORK EASTERN,NEW YORK,SECOND CIRCUIT,0
1996-06-30,NEW YORK NORTHERN,NEW YORK,SECOND CIRCUIT,7
1996-06-30,NEW YORK SOUTHERN,NEW YORK,SECOND CIRCUIT,0
1996-06-30,NEW YORK WESTERN,NEW YORK,SECOND CIRCUIT,3
1996-06-30,NORTH CAROLINA EASTERN,NORTH CAROLINA,FOURTH CIRCUIT,5
1996-06-30,NORTH CAROLINA MIDDLE,NORTH CAROLINA,FOURTH CIRCUIT,0
1996-06-30,NORTH CAROLINA WESTERN,NORTH CAROLINA,FOURTH CIRCUIT,3
1996-06-30,NORTH DAKOTA,NORTH DAKOTA,EIGHTH CIRCUIT,11
1996-06-30,NORTHERN MARIANAS,NORTHERN MARIANA ISLANDS,NINTH CIRCUIT,0
1996-06-30,OHIO NORTHERN,OHIO,SIXTH CIRCUIT,5
1996-06-30,OHIO SOUTHERN,OHIO,SIXTH CIRCUIT,3
1996-06-30,OKLAHOMA EASTERN,OKLAHOMA,TENTH CIRCUIT,1
1996-06-30,OKLAHOMA NORTHERN,OKLAHOMA,TENTH CIRCUIT,1
1996-06-30,OKLAHOMA WESTERN,OKLAHOMA,TENTH CIRCUIT,10
1996-06-30,OREGON,OREGON,NINTH CIRCUIT,1
1996-06-30,PENNSYLVANIA EASTERN,PENNSYLVANIA,THIRD CIRCUIT,1
1996-06-30,PENNSYLVANIA MIDDLE,PENNSYLVANIA,THIRD CIRCUIT,1
1996-06-30,PENNSYLVANIA WESTERN,PENNSYLVANIA,THIRD CIRCUIT,1
1996-06-30,PUERTO RICO,PUERTO RICO,FIRST CIRCUIT,2
1996-06-30,RHODE ISLAND,RHODE ISLAND,FIRST CIRCUIT,0
1996-06-30,SOUTH CAROLINA,SOUTH CAROLINA,FOURTH CIRCUIT,3
1996-06-30,SOUTH DAKOTA,SOUTH DAKOTA,EIGHTH CIRCUIT,15
1996-06-30,TENNESSEE EASTERN,TENNESSEE,SIXTH CIRCUIT,4
1996-06-30,TENNESSEE MIDDLE,TENNESSEE,SIXTH CIRCUIT,4
1996-06-30,TENNESSEE WESTERN,TENNESSEE,SIXTH CIRCUIT,0
1996-06-30,TEXAS EASTERN,TEXAS,FIFTH CIRCUIT,12
1996-06-30,TEXAS NORTHERN,TEXAS,FIFTH CIRCUIT,15
1996-06-30,TEXAS SOUTHERN,TEXAS,FIFTH CIRCUIT,2
1996-06-30,TEXAS WESTERN,TEXAS,FIFTH CIRCUIT,7
1996-06-30,UTAH,UTAH,TENTH CIRCUIT,0
1996-06-30,VERMONT,VERMONT,SECOND CIRCUIT,2
1996-06-30,VIRGIN ISLANDS,VIRGIN ISLANDS,THIRD CIRCUIT,0
