DATE,DISTRICT,STATE,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
2013-01-31,MISSISSIPPI SOUTHERN,MISSISSIPPI,FIFTH CIRCUIT,512,283,3,0,226,20,17,3,0,0,492,266,0,226
2013-01-31,MISSOURI EASTERN,MISSOURI,EIGHTH CIRCUIT,969,650,1,0,318,18,16,1,0,1,951,634,0,317
2013-01-31,MISSOURI WESTERN,MISSOURI,EIGHTH CIRCUIT,745,520,7,0,218,22,15,6,0,1,723,505,1,217
2013-01-31,MONTANA,MONTANA,NINTH CIRCUIT,121,87,3,0,31,9,5,2,0,2,112,82,1,29
2013-01-31,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,382,247,2,0,133,14,10,2,0,2,368,237,0,131
2013-01-31,NEVADA,NEVADA,NINTH CIRCUIT,1089,881,26,1,181,54,37,14,1,2,1035,844,12,179
2013-01-31,NEW HAMPSHIRE,NEW HAMPSHIRE,FIRST CIRCUIT,277,196,2,0,79,22,16,2,0,4,255,180,0,75
2013-01-31,NEW JERSEY,NEW JERSEY,THIRD CIRCUIT,2184,1646,30,0,508,86,51,27,0,8,2098,1595,3,500
2013-01-31,NEW MEXICO,NEW MEXICO,TENTH CIRCUIT,297,262,4,0,31,18,15,3,0,0,279,247,1,31
2013-01-31,NEW YORK EASTERN,NEW YORK,SECOND CIRCUIT,1150,1017,19,0,110,45,21,19,0,1,1105,996,0,109
2013-01-31,NEW YORK NORTHERN,NEW YORK,SECOND CIRCUIT,597,454,4,1,138,19,11,4,1,3,578,443,0,135
2013-01-31,NEW YORK SOUTHERN,NEW YORK,SECOND CIRCUIT,718,558,51,0,109,76,26,48,0,2,642,532,3,107
2013-01-31,NEW YORK WESTERN,NEW YORK,SECOND CIRCUIT,431,291,6,0,134,18,10,6,0,2,413,281,0,132
2013-01-31,NORTH CAROLINA EASTERN,NORTH CAROLINA,FOURTH CIRCUIT,646,194,8,0,444,24,13,7,0,4,622,181,1,440
2013-01-31,NORTH CAROLINA MIDDLE,NORTH CAROLINA,FOURTH CIRCUIT,400,155,3,0,242,15,11,2,0,2,385,144,1,240
2013-01-31,NORTH CAROLINA WESTERN,NORTH CAROLINA,FOURTH CIRCUIT,428,244,5,0,179,23,13,5,0,5,405,231,0,174
2013-01-31,NORTH DAKOTA,NORTH DAKOTA,EIGHTH CIRCUIT,60,55,0,0,5,2,2,0,0,0,58,53,0,5
2013-01-31,NORTHERN MARIANAS,NORTHERN MARIANA ISLANDS,NINTH CIRCUIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-31,OHIO NORTHERN,OHIO,SIXTH CIRCUIT,1675,1319,4,0,352,35,28,4,0,3,1640,1291,0,349
2013-01-31,OHIO SOUTHERN,OHIO,SIXTH CIRCUIT,1555,983,5,0,567,28,20,4,0,4,1527,963,1,563
2013-01-31,OKLAHOMA EASTERN,OKLAHOMA,TENTH CIRCUIT,109,97,0,1,11,6,5,0,1,0,103,92,0,11
2013-01-31,OKLAHOMA NORTHERN,OKLAHOMA,TENTH CIRCUIT,197,167,1,0,29,9,8,1,0,0,188,159,0,29
2013-01-31,OKLAHOMA WESTERN,OKLAHOMA,TENTH CIRCUIT,390,295,1,2,92,10,7,1,2,0,380,288,0,92
2013-01-31,OREGON,OREGON,NINTH CIRCUIT,867,667,2,0,198,24,15,2,0,7,843,652,0,191
2013-01-31,PENNSYLVANIA EASTERN,PENNSYLVANIA,THIRD CIRCUIT,905,569,9,1,326,40,23,9,1,7,865,546,0,319
2013-01-31,PENNSYLVANIA MIDDLE,PENNSYLVANIA,THIRD CIRCUIT,523,350,2,0,171,15,11,2,0,2,508,339,0,169
2013-01-31,PENNSYLVANIA WESTERN,PENNSYLVANIA,THIRD CIRCUIT,666,434,4,0,228,19,14,3,0,2,647,420,1,226
2013-01-31,PUERTO RICO,PUERTO RICO,FIRST CIRCUIT,750,272,25,2,451,41,10,24,2,5,709,262,1,446
2013-01-31,RHODE ISLAND,RHODE ISLAND,FIRST CIRCUIT,291,237,2,0,52,16,14,1,0,1,275,223,1,51
2013-01-31,SOUTH CAROLINA,SOUTH CAROLINA,FOURTH CIRCUIT,623,232,5,0,386,23,18,3,0,2,600,214,2,384
2013-01-31,SOUTH DAKOTA,SOUTH DAKOTA,EIGHTH CIRCUIT,87,77,1,0,9,5,3,1,0,1,82,74,0,8
2013-01-31,TENNESSEE EASTERN,TENNESSEE,SIXTH CIRCUIT,986,547,6,2,431,31,20,6,2,3,955,527,0,428
2013-01-31,TENNESSEE MIDDLE,TENNESSEE,SIXTH CIRCUIT,874,499,9,1,365,27,18,6,1,2,847,481,3,363
2013-01-31,TENNESSEE WESTERN,TENNESSEE,SIXTH CIRCUIT,1356,356,5,0,995,10,5,4,0,1,1346,351,1,994
2013-01-31,TEXAS EASTERN,TEXAS,FIFTH CIRCUIT,452,209,3,0,240,22,20,2,0,0,430,189,1,240
2013-01-31,TEXAS NORTHERN,TEXAS,FIFTH CIRCUIT,1049,497,14,0,538,62,41,14,0,7,987,456,0,531
2013-01-31,TEXAS SOUTHERN,TEXAS,FIFTH CIRCUIT,686,300,6,0,380,48,38,6,0,4,638,262,0,376
2013-01-31,TEXAS WESTERN,TEXAS,FIFTH CIRCUIT,617,334,9,0,274,50,36,8,0,6,567,298,1,268
2013-01-31,UTAH,UTAH,TENTH CIRCUIT,964,560,4,0,400,22,15,4,0,3,942,545,0,397
2013-01-31,VERMONT,VERMONT,SECOND CIRCUIT,61,48,0,0,13,2,2,0,0,0,59,46,0,13
2013-01-31,VIRGIN ISLANDS,VIRGIN ISLANDS,THIRD CIRCUIT,1,1,0,0,0,0,0,0,0,0,1,1,0,0
2013-01-31,VIRGINIA EASTERN,VIRGINIA,FOURTH CIRCUIT,1482,860,11,0,611,47,34,8,0,5,1435,826,3,606
2013-01-31,VIRGINIA WESTERN,VIRGINIA,FOURTH CIRCUIT,533,346,2,0,185,13,10,2,0,1,520,336,0,184
2013-01-31,WASHINGTON EASTERN,WASHINGTON,NINTH CIRCUIT,366,274,0,0,92,6,5,0,0,1,360,269,0,91
2013-01-31,WASHINGTON WESTERN,WASHINGTON,NINTH CIRCUIT,1637,1291,14,0,332,59,42,13,0,4,1578,1249,1,328
2013-01-31,WEST VIRGINIA NORTHERN,WEST VIRGINIA,FOURTH CIRCUIT,140,121,0,0,19,3,3,0,0,0,137,118,0,19
2013-01-31,WEST VIRGINIA SOUTHERN,WEST VIRGINIA,FOURTH CIRCUIT,157,134,2,0,21,6,4,2,0,0,151,130,0,21
2013-01-31,WISCONSIN EASTERN,WISCONSIN,SEVENTH CIRCUIT,1205,845,4,0,356,27,20,4,0,3,1178,825,0,353
2013-01-31,WISCONSIN WESTERN,WISCONSIN,SEVENTH CIRCUIT,441,371,0,1,69,15,10,0,1,4,426,361,0,65
2013-01-31,WYOMING,WYOMING,TENTH CIRCUIT,74,62,1,0,11,5,4,1,0,0,69,58,0,11
2013-02-28,ALABAMA MIDDLE,ALABAMA,ELEVENTH CIRCUIT,597,179,3,0,415,13,9,3,0,1,584,170,0,414
2013-02-28,ALABAMA NORTHERN,ALABAMA,ELEVENTH CIRCUIT,1338,720,3,0,615,31,27,3,0,1,1307,693,0,614
2013-02-28,ALABAMA SOUTHERN,ALABAMA,ELEVENTH CIRCUIT,354,96,3,0,255,6,4,2,0,0,348,92,1,255
2013-02-28,ALASKA,ALASKA,NINTH CIRCUIT,53,45,0,0,8,3,3,0,0,0,50,42,0,8
2013-02-28,ARIZONA,ARIZONA,NINTH CIRCUIT,1532,1290,36,1,205,92,56,32,1,3,1440,1234,4,202
2013-02-28,ARKANSAS EASTERN,ARKANSAS,EIGHTH CIRCUIT,677,325,0,0,352,8,6,0,0,2,669,319,0,350
2013-02-28,ARKANSAS WESTERN,ARKANSAS,EIGHTH CIRCUIT,410,247,1,1,161,10,7,1,1,1,400,240,0,160
2013-02-28,CALIFORNIA CENTRAL,CALIFORNIA,NINTH CIRCUIT,6614,5328,55,0,1231,207,163,37,0,7,6407,5165,18,1224
2013-02-28,CALIFORNIA EASTERN,CALIFORNIA,NINTH CIRCUIT,2424,1973,13,4,434,63,41,9,4,9,2361,1932,4,425
2013-02-28,CALIFORNIA NORTHERN,CALIFORNIA,NINTH CIRCUIT,1635,1031,23,0,581,79,56,17,0,6,1556,975,6,575
2013-02-28,CALIFORNIA SOUTHERN,CALIFORNIA,NINTH CIRCUIT,1069,892,8,0,169,36,28,6,0,2,1033,864,2,167
2013-02-28,COLORADO,COLORADO,TENTH CIRCUIT,1560,1311,13,0,236,65,47,13,0,5,1495,1264,0,231
2013-02-28,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,468,398,7,0,63,25,18,7,0,0,443,380,0,63
2013-02-28,DELAWARE,DELAWARE,THIRD CIRCUIT,233,158,22,0,53,31,8,22,0,1,202,150,0,52
2013-02-28,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC CIRCUIT,56,47,2,0,7,3,1,2,0,0,53,46,0,7
2013-02-28,FLORIDA MIDDLE,FLORIDA,ELEVENTH CIRCUIT,3225,2331,40,1,853,126,92,28,1,5,3099,2239,12,848
2013-02-28,FLORIDA NORTHERN,FLORIDA,ELEVENTH CIRCUIT,266,220,2,1,43,21,16,2,1,2,245,204,0,41
2013-02-28,FLORIDA SOUTHERN,FLORIDA,ELEVENTH CIRCUIT,2439,1550,29,0,860,88,59,24,0,5,2351,1491,5,855
2013-02-28,GEORGIA MIDDLE,GEORGIA,ELEVENTH CIRCUIT,853,347,0,0,506,25,22,0,0,3,828,325,0,503
2013-02-28,GEORGIA NORTHERN,GEORGIA,ELEVENTH CIRCUIT,3374,2041,30,1,1302,107,70,28,1,8,3267,1971,2,1294
2013-02-28,GEORGIA SOUTHERN,GEORGIA,ELEVENTH CIRCUIT,653,177,5,2,469,16,8,5,2,1,637,169,0,468
2013-02-28,GUAM,GUAM,NINTH CIRCUIT,4,4,0,0,0,2,2,0,0,0,2,2,0,0
2013-02-28,HAWAII,HAWAII,NINTH CIRCUIT,168,124,1,0,43,14,11,0,0,3,154,113,1,40
2013-02-28,IDAHO,IDAHO,NINTH CIRCUIT,374,336,2,1,35,16,13,2,1,0,358,323,0,35
2013-02-28,ILLINOIS CENTRAL,ILLINOIS,SEVENTH CIRCUIT,532,428,1,0,103,13,11,1,0,1,519,417,0,102
2013-02-28,ILLINOIS NORTHERN,ILLINOIS,SEVENTH CIRCUIT,4667,3099,35,0,1533,142,103,32,0,7,4525,2996,3,1526
2013-02-28,ILLINOIS SOUTHERN,ILLINOIS,SEVENTH CIRCUIT,356,238,2,1,115,9,5,2,1,1,347,233,0,114
2013-02-28,INDIANA NORTHERN,INDIANA,SEVENTH CIRCUIT,888,652,8,0,228,18,10,8,0,0,870,642,0,228
2013-02-28,INDIANA SOUTHERN,INDIANA,SEVENTH CIRCUIT,1422,959,6,0,457,32,24,6,0,2,1390,935,0,455
2013-02-28,IOWA NORTHERN,IOWA,EIGHTH CIRCUIT,160,148,0,0,12,4,4,0,0,0,156,144,0,12
2013-02-28,IOWA SOUTHERN,IOWA,EIGHTH CIRCUIT,257,234,1,0,22,10,9,1,0,0,247,225,0,22
2013-02-28,KANSAS,KANSAS,TENTH CIRCUIT,501,307,8,1,185,13,5,7,1,0,488,302,1,185
2013-02-28,KENTUCKY EASTERN,KENTUCKY,SIXTH CIRCUIT,838,619,22,0,197,29,6,22,0,1,809,613,0,196
2013-02-28,KENTUCKY WESTERN,KENTUCKY,SIXTH CIRCUIT,806,596,1,0,209,8,6,1,0,1,798,590,0,208
2013-02-28,LOUISIANA EASTERN,LOUISIANA,FIFTH CIRCUIT,286,163,1,0,122,21,19,1,0,1,265,144,0,121
2013-02-28,LOUISIANA MIDDLE,LOUISIANA,FIFTH CIRCUIT,125,71,0,0,54,4,4,0,0,0,121,67,0,54
2013-02-28,LOUISIANA WESTERN,LOUISIANA,FIFTH CIRCUIT,731,174,7,0,550,10,4,6,0,0,721,170,1,550
2013-02-28,MAINE,MAINE,FIRST CIRCUIT,152,119,1,0,32,11,8,1,0,2,141,111,0,30
2013-02-28,MARYLAND,MARYLAND,FOURTH CIRCUIT,1836,1477,13,0,346,47,36,7,0,4,1789,1441,6,342
2013-02-28,MASSACHUSETTS,MASSACHUSETTS,FIRST CIRCUIT,912,736,9,1,166,25,14,7,1,3,887,722,2,163
2013-02-28,MICHIGAN EASTERN,MICHIGAN,SIXTH CIRCUIT,2759,2256,19,2,482,62,36,16,2,8,2697,2220,3,474
2013-02-28,MICHIGAN WESTERN,MICHIGAN,SIXTH CIRCUIT,909,798,1,0,110,17,14,1,0,2,892,784,0,108
