DATE,DISTRICT,STATE,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
2001-03-31,MINNESOTA,MINNESOTA,EIGHTH CIRCUIT,4749,3901,26,0,822,491,394,26,0,71,4258,3507,0,751
2001-03-31,MISSISSIPPI NORTHERN,MISSISSIPPI,FIFTH CIRCUIT,1968,1326,4,0,638,22,15,4,0,3,1946,1311,0,635
2001-03-31,MISSISSIPPI SOUTHERN,MISSISSIPPI,FIFTH CIRCUIT,3667,2452,17,0,1198,48,28,16,0,4,3619,2424,1,1194
2001-03-31,MISSOURI EASTERN,MISSOURI,EIGHTH CIRCUIT,4177,2679,43,0,1455,70,26,40,0,4,4107,2653,3,1451
2001-03-31,MISSOURI WESTERN,MISSOURI,EIGHTH CIRCUIT,3080,2366,16,0,698,49,22,15,0,12,3031,2344,1,686
2001-03-31,MONTANA,MONTANA,NINTH CIRCUIT,992,876,5,0,111,35,27,3,0,5,957,849,2,106
2001-03-31,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,1802,1538,18,0,246,38,20,17,0,1,1764,1518,1,245
2001-03-31,NEVADA,NEVADA,NINTH CIRCUIT,4049,2916,54,0,1079,101,45,51,0,5,3948,2871,3,1074
2001-03-31,NEW HAMPSHIRE,NEW HAMPSHIRE,FIRST CIRCUIT,1028,941,6,0,81,81,75,6,0,0,947,866,0,81
2001-03-31,NEW JERSEY,NEW JERSEY,THIRD CIRCUIT,10846,7152,102,1,3591,197,101,95,1,0,10649,7051,7,3591
2001-03-31,NEW MEXICO,NEW MEXICO,TENTH CIRCUIT,2271,1926,18,0,327,147,102,17,0,28,2124,1824,1,299
2001-03-31,NEW YORK EASTERN,NEW YORK,SECOND CIRCUIT,6642,5152,91,0,1399,122,37,85,0,0,6520,5115,6,1399
2001-03-31,NEW YORK NORTHERN,NEW YORK,SECOND CIRCUIT,3905,3250,12,2,641,103,63,12,2,26,3802,3187,0,615
2001-03-31,NEW YORK SOUTHERN,NEW YORK,SECOND CIRCUIT,3746,2949,375,0,420,413,49,361,0,1,3333,2900,14,419
2001-03-31,NEW YORK WESTERN,NEW YORK,SECOND CIRCUIT,3092,2368,14,0,710,126,94,13,0,19,2966,2274,1,691
2001-03-31,NORTH CAROLINA EASTERN,NORTH CAROLINA,FOURTH CIRCUIT,3428,1741,13,0,1674,55,35,11,0,9,3373,1706,2,1665
2001-03-31,NORTH CAROLINA MIDDLE,NORTH CAROLINA,FOURTH CIRCUIT,2570,997,9,0,1564,44,26,9,0,9,2526,971,0,1555
2001-03-31,NORTH CAROLINA WESTERN,NORTH CAROLINA,FOURTH CIRCUIT,2132,1087,16,0,1029,32,17,14,0,1,2100,1070,2,1028
2001-03-31,NORTH DAKOTA,NORTH DAKOTA,EIGHTH CIRCUIT,587,567,2,0,18,26,23,2,0,1,561,544,0,17
2001-03-31,NORTHERN MARIANAS,NORTHERN MARIANA ISLANDS,NINTH CIRCUIT,9,8,1,0,0,4,3,1,0,0,5,5,0,0
2001-03-31,OHIO NORTHERN,OHIO,SIXTH CIRCUIT,8279,6734,23,0,1522,273,205,23,0,45,8006,6529,0,1477
2001-03-31,OHIO SOUTHERN,OHIO,SIXTH CIRCUIT,7951,6245,31,0,1674,133,76,28,0,28,7818,6169,3,1646
2001-03-31,OKLAHOMA EASTERN,OKLAHOMA,TENTH CIRCUIT,1107,1044,4,0,59,27,21,4,0,2,1080,1023,0,57
