STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CIRCUIT_NUM,DATE,month,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,TOTAL_OTHER,TOTAL_BCHAP_OTHER,CHAP_9,CHAP_15,OTHERS,QTR_ENDED,YEAR,FISCAL_YEAR,ST_ABRV
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,7TH,2013-01-31,1,722,482,5,0,235,18,14,4,0,0,704,468,1,235,NA,NA,NA,NA,NA,2013.1,2013,2013,IN
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,7TH,2013-01-31,1,1360,812,11,0,537,35,25,7,0,3,1325,787,4,534,NA,NA,NA,NA,NA,2013.1,2013,2013,IN
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,8TH,2013-01-31,1,117,112,1,0,4,8,6,1,0,1,109,106,0,3,NA,NA,NA,NA,NA,2013.1,2013,2013,IA
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,8TH,2013-01-31,1,250,217,1,1,31,18,16,1,1,0,232,201,0,31,NA,NA,NA,NA,NA,2013.1,2013,2013,IA
KANSAS,KANSAS,KS,TENTH CIRCUIT,10TH,2013-01-31,1,520,322,3,2,193,16,10,2,2,2,504,312,1,191,NA,NA,NA,NA,NA,2013.1,2013,2013,KS
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,6TH,2013-01-31,1,740,517,0,1,222,11,8,0,1,2,729,509,0,220,NA,NA,NA,NA,NA,2013.1,2013,2013,KY
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,6TH,2013-01-31,1,683,480,1,0,202,16,13,1,0,2,667,467,0,200,NA,NA,NA,NA,NA,2013.1,2013,2013,KY
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,5TH,2013-01-31,1,232,98,3,0,131,22,16,3,0,3,210,82,0,128,NA,NA,NA,NA,NA,2013.1,2013,2013,LA
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,5TH,2013-01-31,1,112,53,0,0,59,3,3,0,0,0,109,50,0,59,NA,NA,NA,NA,NA,2013.1,2013,2013,LA
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,5TH,2013-01-31,1,741,134,2,2,603,7,1,1,2,3,734,133,1,600,NA,NA,NA,NA,NA,2013.1,2013,2013,LA
MAINE,MAINE,ME,FIRST CIRCUIT,1ST,2013-01-31,1,132,104,0,0,28,8,7,0,0,1,124,97,0,27,NA,NA,NA,NA,NA,2013.1,2013,2013,ME
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,4TH,2013-01-31,1,1788,1392,14,0,382,48,31,13,0,4,1740,1361,1,378,NA,NA,NA,NA,NA,2013.1,2013,2013,MD
