STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CIRCUIT_NUM,DATE,month,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,TOTAL_OTHER,TOTAL_BCHAP_OTHER,CHAP_9,CHAP_15,OTHERS,QTR_ENDED,YEAR,FISCAL_YEAR,ST_ABRV
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3RD,2014-11-30,11,188,110,19,0,59,24,5,19,0,0,164,105,0,59,NA,NA,NA,NA,NA,2014.4,2014,2014,DE
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,DC,2014-11-30,11,58,47,0,0,11,4,3,0,0,1,54,44,0,10,NA,NA,NA,NA,NA,2014.4,2014,2014,DC
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,11TH,2014-11-30,11,2332,1606,28,2,696,95,66,21,2,6,2237,1540,7,690,NA,NA,NA,NA,NA,2014.4,2014,2014,FL
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,11TH,2014-11-30,11,201,153,4,0,44,12,7,4,0,1,189,146,0,43,NA,NA,NA,NA,NA,2014.4,2014,2014,FL
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,11TH,2014-11-30,11,1946,1105,17,0,824,38,25,11,0,2,1908,1080,6,822,NA,NA,NA,NA,NA,2014.4,2014,2014,FL
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,11TH,2014-11-30,11,713,202,0,2,509,14,7,0,2,5,699,195,0,504,NA,NA,NA,NA,NA,2014.4,2014,2014,GA
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,11TH,2014-11-30,11,2662,1310,13,0,1339,56,39,13,0,4,2606,1271,0,1335,NA,NA,NA,NA,NA,2014.4,2014,2014,GA
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,11TH,2014-11-30,11,605,100,0,0,505,6,5,0,0,1,599,95,0,504,NA,NA,NA,NA,NA,2014.4,2014,2014,GA
GUAM,GUAM,GUAM,NINTH CIRCUIT,9TH,2014-11-30,11,6,3,0,0,3,0,0,0,0,0,6,3,0,3,NA,NA,NA,NA,NA,2014.4,2014,2014,NA
HAWAII,HAWAII,HI,NINTH CIRCUIT,9TH,2014-11-30,11,129,92,1,0,36,8,7,1,0,0,121,85,0,36,NA,NA,NA,NA,NA,2014.4,2014,2014,HI
IDAHO,IDAHO,ID,NINTH CIRCUIT,9TH,2014-11-30,11,310,282,1,0,27,13,11,1,0,1,297,271,0,26,NA,NA,NA,NA,NA,2014.4,2014,2014,ID
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,7TH,2014-11-30,11,402,326,0,0,76,8,7,0,0,1,394,319,0,75,NA,NA,NA,NA,NA,2014.4,2014,2014,IL
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,7TH,2014-11-30,11,3428,1888,11,0,1529,63,51,8,0,4,3365,1837,3,1525,NA,NA,NA,NA,NA,2014.4,2014,2014,IL
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,7TH,2014-11-30,11,298,179,1,0,118,3,2,1,0,0,295,177,0,118,NA,NA,NA,NA,NA,2014.4,2014,2014,IL
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,7TH,2014-11-30,11,777,550,1,2,224,9,6,1,2,0,768,544,0,224,NA,NA,NA,NA,NA,2014.4,2014,2014,IN
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,7TH,2014-11-30,11,1192,789,1,0,402,23,23,0,0,0,1169,766,1,402,NA,NA,NA,NA,NA,2014.4,2014,2014,IN
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,8TH,2014-11-30,11,121,115,0,0,6,4,3,0,0,1,117,112,0,5,NA,NA,NA,NA,NA,2014.4,2014,2014,IA
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,8TH,2014-11-30,11,200,171,3,0,26,7,4,3,0,0,193,167,0,26,NA,NA,NA,NA,NA,2014.4,2014,2014,IA
KANSAS,KANSAS,KS,TENTH CIRCUIT,10TH,2014-11-30,11,466,236,2,1,227,10,7,1,1,1,456,229,1,226,NA,NA,NA,NA,NA,2014.4,2014,2014,KS
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,6TH,2014-11-30,11,590,418,4,1,167,18,13,4,1,0,572,405,0,167,NA,NA,NA,NA,NA,2014.4,2014,2014,KY
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,6TH,2014-11-30,11,584,408,0,0,176,10,8,0,0,2,574,400,0,174,NA,NA,NA,NA,NA,2014.4,2014,2014,KY
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,5TH,2014-11-30,11,282,103,1,0,178,9,8,1,0,0,273,95,0,178,NA,NA,NA,NA,NA,2014.4,2014,2014,LA
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,5TH,2014-11-30,11,130,62,1,0,67,3,2,1,0,0,127,60,0,67,NA,NA,NA,NA,NA,2014.4,2014,2014,LA
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,5TH,2014-11-30,11,651,105,1,0,545,5,3,1,0,1,646,102,0,544,NA,NA,NA,NA,NA,2014.4,2014,2014,LA
MAINE,MAINE,ME,FIRST CIRCUIT,1ST,2014-11-30,11,147,119,1,0,27,6,5,1,0,0,141,114,0,27,NA,NA,NA,NA,NA,2014.4,2014,2014,ME
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,4TH,2014-11-30,11,1375,957,20,0,398,52,32,17,0,3,1323,925,3,395,NA,NA,NA,NA,NA,2014.4,2014,2014,MD
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,1ST,2014-11-30,11,755,568,7,0,180,27,23,3,0,1,728,545,4,179,NA,NA,NA,NA,NA,2014.4,2014,2014,MA
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,6TH,2014-11-30,11,1900,1469,8,1,422,51,38,8,1,4,1849,1431,0,418,NA,NA,NA,NA,NA,2014.4,2014,2014,MI
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,6TH,2014-11-30,11,513,410,5,0,98,19,14,5,0,0,494,396,0,98,NA,NA,NA,NA,NA,2014.4,2014,2014,MI
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,8TH,2014-11-30,11,840,718,0,3,119,27,22,0,3,2,813,696,0,117,NA,NA,NA,NA,NA,2014.4,2014,2014,MN
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,5TH,2014-11-30,11,333,126,1,0,206,5,2,1,0,2,328,124,0,204,NA,NA,NA,NA,NA,2014.4,2014,2014,MS
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,5TH,2014-11-30,11,422,211,3,0,208,10,7,3,0,0,412,204,0,208,NA,NA,NA,NA,NA,2014.4,2014,2014,MS
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,8TH,2014-11-30,11,770,508,0,0,262,6,5,0,0,1,764,503,0,261,NA,NA,NA,NA,NA,2014.4,2014,2014,MO
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,8TH,2014-11-30,11,645,424,1,1,219,12,10,1,1,0,633,414,0,219,NA,NA,NA,NA,NA,2014.4,2014,2014,MO
MONTANA,MONTANA,MT,NINTH CIRCUIT,9TH,2014-11-30,11,86,72,0,0,14,3,2,0,0,1,83,70,0,13,NA,NA,NA,NA,NA,2014.4,2014,2014,MT
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,8TH,2014-11-30,11,338,220,0,0,118,3,2,0,0,1,335,218,0,117,NA,NA,NA,NA,NA,2014.4,2014,2014,NE
NEVADA,NEVADA,NV,NINTH CIRCUIT,9TH,2014-11-30,11,741,591,13,0,137,29,21,6,0,2,712,570,7,135,NA,NA,NA,NA,NA,2014.4,2014,2014,NV
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1ST,2014-11-30,11,168,133,4,0,31,19,11,4,0,4,149,122,0,27,NA,NA,NA,NA,NA,2014.4,2014,2014,NH
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,3RD,2014-11-30,11,1960,1415,20,0,525,64,40,17,0,7,1896,1375,3,518,NA,NA,NA,NA,NA,2014.4,2014,2014,NJ
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,10TH,2014-11-30,11,265,248,1,0,16,9,7,1,0,1,256,241,0,15,NA,NA,NA,NA,NA,2014.4,2014,2014,NM
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,2ND,2014-11-30,11,922,802,9,0,111,36,25,8,0,3,886,777,1,108,NA,NA,NA,NA,NA,2014.4,2014,2014,NY
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,2ND,2014-11-30,11,453,350,2,1,100,10,6,2,1,1,443,344,0,99,NA,NA,NA,NA,NA,2014.4,2014,2014,NY
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,2ND,2014-11-30,11,581,460,13,0,107,32,15,12,0,4,549,445,1,103,NA,NA,NA,NA,NA,2014.4,2014,2014,NY
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,2ND,2014-11-30,11,356,228,3,0,125,11,3,3,0,5,345,225,0,120,NA,NA,NA,NA,NA,2014.4,2014,2014,NY
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,4TH,2014-11-30,11,590,161,7,1,421,21,10,5,1,5,569,151,2,416,NA,NA,NA,NA,NA,2014.4,2014,2014,NC
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,4TH,2014-11-30,11,328,131,0,0,197,11,9,0,0,2,317,122,0,195,NA,NA,NA,NA,NA,2014.4,2014,2014,NC
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,4TH,2014-11-30,11,329,189,2,0,138,9,7,2,0,0,320,182,0,138,NA,NA,NA,NA,NA,2014.4,2014,2014,NC
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,8TH,2014-11-30,11,41,37,0,0,4,2,2,0,0,0,39,35,0,4,NA,NA,NA,NA,NA,2014.4,2014,2014,ND
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,9TH,2014-11-30,11,1,1,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,2014.4,2014,2014,NA
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,6TH,2014-11-30,11,1573,1273,1,0,299,31,28,1,0,2,1542,1245,0,297,NA,NA,NA,NA,NA,2014.4,2014,2014,OH
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,6TH,2014-11-30,11,1343,884,1,0,458,25,20,1,0,4,1318,864,0,454,NA,NA,NA,NA,NA,2014.4,2014,2014,OH
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,10TH,2014-11-30,11,112,95,3,0,14,5,1,3,0,1,107,94,0,13,NA,NA,NA,NA,NA,2014.4,2014,2014,OK
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,10TH,2014-11-30,11,189,170,0,0,19,8,8,0,0,0,181,162,0,19,NA,NA,NA,NA,NA,2014.4,2014,2014,OK
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,10TH,2014-11-30,11,383,292,2,0,89,7,4,2,0,1,376,288,0,88,NA,NA,NA,NA,NA,2014.4,2014,2014,OK
OREGON,OREGON,OR,NINTH CIRCUIT,9TH,2014-11-30,11,828,654,1,0,173,20,16,1,0,3,808,638,0,170,NA,NA,NA,NA,NA,2014.4,2014,2014,OR
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,3RD,2014-11-30,11,728,397,6,0,325,22,9,6,0,7,706,388,0,318,NA,NA,NA,NA,NA,2014.4,2014,2014,PA
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,3RD,2014-11-30,11,424,280,1,0,143,10,8,0,0,2,414,272,1,141,NA,NA,NA,NA,NA,2014.4,2014,2014,PA
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,3RD,2014-11-30,11,484,306,3,0,175,9,6,2,0,1,475,300,1,174,NA,NA,NA,NA,NA,2014.4,2014,2014,PA
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,1ST,2014-11-30,11,785,297,14,1,473,24,9,13,1,1,761,288,1,472,NA,NA,NA,NA,NA,2014.4,2014,2014,NA
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,1ST,2014-11-30,11,201,162,0,0,39,5,5,0,0,0,196,157,0,39,NA,NA,NA,NA,NA,2014.4,2014,2014,RI
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,4TH,2014-11-30,11,581,213,3,0,365,23,16,3,0,4,558,197,0,361,NA,NA,NA,NA,NA,2014.4,2014,2014,SC
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,8TH,2014-11-30,11,72,69,0,0,3,4,3,0,0,1,68,66,0,2,NA,NA,NA,NA,NA,2014.4,2014,2014,SD
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,6TH,2014-11-30,11,915,457,4,0,454,15,11,3,0,1,900,446,1,453,NA,NA,NA,NA,NA,2014.4,2014,2014,TN
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,6TH,2014-11-30,11,752,396,6,0,350,12,7,4,0,1,740,389,2,349,NA,NA,NA,NA,NA,2014.4,2014,2014,TN
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,6TH,2014-11-30,11,1124,249,4,0,871,18,14,4,0,0,1106,235,0,871,NA,NA,NA,NA,NA,2014.4,2014,2014,TN
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,5TH,2014-11-30,11,316,112,5,0,199,18,11,5,0,2,298,101,0,197,NA,NA,NA,NA,NA,2014.4,2014,2014,TX
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,5TH,2014-11-30,11,975,395,12,2,566,70,51,11,2,6,905,344,1,560,NA,NA,NA,NA,NA,2014.4,2014,2014,TX
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,5TH,2014-11-30,11,764,254,7,0,503,34,24,6,0,4,730,230,1,499,NA,NA,NA,NA,NA,2014.4,2014,2014,TX
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,5TH,2014-11-30,11,578,257,8,0,313,31,20,6,0,5,547,237,2,308,NA,NA,NA,NA,NA,2014.4,2014,2014,TX
UTAH,UTAH,UT,TENTH CIRCUIT,10TH,2014-11-30,11,926,550,1,0,375,13,11,1,0,1,913,539,0,374,NA,NA,NA,NA,NA,2014.4,2014,2014,UT
VERMONT,VERMONT,VT,SECOND CIRCUIT,2ND,2014-11-30,11,54,48,0,0,6,3,2,0,0,1,51,46,0,5,NA,NA,NA,NA,NA,2014.4,2014,2014,VT
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,4TH,2014-11-30,11,1380,814,10,1,555,36,22,10,1,3,1344,792,0,552,NA,NA,NA,NA,NA,2014.4,2014,2014,VA
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,4TH,2014-11-30,11,404,228,3,0,173,9,5,3,0,1,395,223,0,172,NA,NA,NA,NA,NA,2014.4,2014,2014,VA
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,3RD,2014-11-30,11,2,1,0,0,1,0,0,0,0,0,2,1,0,1,NA,NA,NA,NA,NA,2014.4,2014,2014,NA
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,9TH,2014-11-30,11,295,233,1,0,61,4,3,1,0,0,291,230,0,61,NA,NA,NA,NA,NA,2014.4,2014,2014,WA
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,9TH,2014-11-30,11,1105,848,6,0,251,25,18,6,0,1,1080,830,0,250,NA,NA,NA,NA,NA,2014.4,2014,2014,WA
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,4TH,2014-11-30,11,92,73,2,0,17,9,7,2,0,0,83,66,0,17,NA,NA,NA,NA,NA,2014.4,2014,2014,WV
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,4TH,2014-11-30,11,158,128,1,0,29,6,5,1,0,0,152,123,0,29,NA,NA,NA,NA,NA,2014.4,2014,2014,WV
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,7TH,2014-11-30,11,896,581,2,3,310,15,10,2,3,0,881,571,0,310,NA,NA,NA,NA,NA,2014.4,2014,2014,WI
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,7TH,2014-11-30,11,324,270,2,2,50,13,7,2,2,2,311,263,0,48,NA,NA,NA,NA,NA,2014.4,2014,2014,WI
WYOMING,WYOMING,WY,TENTH CIRCUIT,10TH,2014-11-30,11,58,52,0,0,6,3,3,0,0,0,55,49,0,6,NA,NA,NA,NA,NA,2014.4,2014,2014,WY
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,11TH,2014-12-31,12,585,107,0,0,478,4,3,0,0,1,581,104,0,477,NA,NA,NA,NA,NA,2014.4,2014,2015,AL
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,11TH,2014-12-31,12,959,419,2,0,538,13,11,2,0,0,946,408,0,538,NA,NA,NA,NA,NA,2014.4,2014,2015,AL
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,11TH,2014-12-31,12,316,103,0,0,213,3,3,0,0,0,313,100,0,213,NA,NA,NA,NA,NA,2014.4,2014,2015,AL
ALASKA,ALASKA,AK,NINTH CIRCUIT,9TH,2014-12-31,12,29,16,0,0,13,4,3,0,0,1,25,13,0,12,NA,NA,NA,NA,NA,2014.4,2014,2015,AK
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,9TH,2014-12-31,12,1280,1068,23,0,189,47,30,15,0,2,1233,1038,8,187,NA,NA,NA,NA,NA,2014.4,2014,2015,AZ
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,8TH,2014-12-31,12,506,194,5,0,307,11,3,5,0,3,495,191,0,304,NA,NA,NA,NA,NA,2014.4,2014,2015,AR
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,8TH,2014-12-31,12,275,142,1,3,129,9,5,1,3,0,266,137,0,129,NA,NA,NA,NA,NA,2014.4,2014,2015,AR
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,9TH,2014-12-31,12,3868,2950,33,0,885,149,117,23,0,9,3719,2833,10,876,NA,NA,NA,NA,NA,2014.4,2014,2015,CA
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,9TH,2014-12-31,12,1355,1039,6,0,310,42,32,4,0,6,1313,1007,2,304,NA,NA,NA,NA,NA,2014.4,2014,2015,CA
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,9TH,2014-12-31,12,1041,630,12,0,399,56,43,9,0,4,985,587,3,395,NA,NA,NA,NA,NA,2014.4,2014,2015,CA
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,9TH,2014-12-31,12,684,533,1,0,150,29,25,1,0,3,655,508,0,147,NA,NA,NA,NA,NA,2014.4,2014,2015,CA
COLORADO,COLORADO,CO,TENTH CIRCUIT,10TH,2014-12-31,12,1152,943,7,0,199,41,28,6,0,4,1111,915,1,195,NA,NA,NA,NA,NA,2014.4,2014,2015,CO
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,2ND,2014-12-31,12,548,444,12,1,91,26,14,10,1,1,522,430,2,90,NA,NA,NA,NA,NA,2014.4,2014,2015,CT
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3RD,2014-12-31,12,209,151,11,0,47,53,41,11,0,1,156,110,0,46,NA,NA,NA,NA,NA,2014.4,2014,2015,DE
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,DC,2014-12-31,12,70,56,3,0,11,9,6,3,0,0,61,50,0,11,NA,NA,NA,NA,NA,2014.4,2014,2015,DC
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,11TH,2014-12-31,12,2534,1733,29,1,771,121,94,20,1,6,2413,1639,9,765,NA,NA,NA,NA,NA,2014.4,2014,2015,FL
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,11TH,2014-12-31,12,231,191,3,0,37,5,3,2,0,0,226,188,1,37,NA,NA,NA,NA,NA,2014.4,2014,2015,FL
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,11TH,2014-12-31,12,1986,1107,22,1,856,58,43,13,1,1,1928,1064,9,855,NA,NA,NA,NA,NA,2014.4,2014,2015,FL
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,11TH,2014-12-31,12,655,194,1,1,459,6,3,1,1,1,649,191,0,458,NA,NA,NA,NA,NA,2014.4,2014,2015,GA
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,11TH,2014-12-31,12,2556,1282,13,0,1261,66,50,12,0,4,2490,1232,1,1257,NA,NA,NA,NA,NA,2014.4,2014,2015,GA
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,11TH,2014-12-31,12,620,118,2,0,500,11,7,2,0,2,609,111,0,498,NA,NA,NA,NA,NA,2014.4,2014,2015,GA
GUAM,GUAM,GUAM,NINTH CIRCUIT,9TH,2014-12-31,12,1,1,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,2014.4,2014,2015,NA
HAWAII,HAWAII,HI,NINTH CIRCUIT,9TH,2014-12-31,12,112,81,0,0,31,5,4,0,0,1,107,77,0,30,NA,NA,NA,NA,NA,2014.4,2014,2015,HI
IDAHO,IDAHO,ID,NINTH CIRCUIT,9TH,2014-12-31,12,326,277,3,0,46,11,9,2,0,0,315,268,1,46,NA,NA,NA,NA,NA,2014.4,2014,2015,ID
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,7TH,2014-12-31,12,390,304,1,0,85,9,6,1,0,2,381,298,0,83,NA,NA,NA,NA,NA,2014.4,2014,2015,IL
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,7TH,2014-12-31,12,3667,2165,16,0,1486,83,64,14,0,5,3584,2101,2,1481,NA,NA,NA,NA,NA,2014.4,2014,2015,IL
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,7TH,2014-12-31,12,325,196,3,0,126,10,2,3,0,5,315,194,0,121,NA,NA,NA,NA,NA,2014.4,2014,2015,IL
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,7TH,2014-12-31,12,736,518,0,0,218,8,8,0,0,0,728,510,0,218,NA,NA,NA,NA,NA,2014.4,2014,2015,IN
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,7TH,2014-12-31,12,1119,723,4,0,392,28,21,4,0,3,1091,702,0,389,NA,NA,NA,NA,NA,2014.4,2014,2015,IN
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,8TH,2014-12-31,12,123,113,0,0,10,6,6,0,0,0,117,107,0,10,NA,NA,NA,NA,NA,2014.4,2014,2015,IA
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,8TH,2014-12-31,12,211,181,4,0,26,11,6,4,0,1,200,175,0,25,NA,NA,NA,NA,NA,2014.4,2014,2015,IA
KANSAS,KANSAS,KS,TENTH CIRCUIT,10TH,2014-12-31,12,500,291,0,3,206,16,11,0,3,2,484,280,0,204,NA,NA,NA,NA,NA,2014.4,2014,2015,KS
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,6TH,2014-12-31,12,565,395,2,0,168,10,8,2,0,0,555,387,0,168,NA,NA,NA,NA,NA,2014.4,2014,2015,KY
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,6TH,2014-12-31,12,596,442,2,0,152,14,12,2,0,0,582,430,0,152,NA,NA,NA,NA,NA,2014.4,2014,2015,KY
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,5TH,2014-12-31,12,260,105,0,1,154,12,10,0,1,1,248,95,0,153,NA,NA,NA,NA,NA,2014.4,2014,2015,LA
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,5TH,2014-12-31,12,117,58,1,0,58,6,5,1,0,0,111,53,0,58,NA,NA,NA,NA,NA,2014.4,2014,2015,LA
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,5TH,2014-12-31,12,636,115,6,0,515,15,7,5,0,3,621,108,1,512,NA,NA,NA,NA,NA,2014.4,2014,2015,LA
MAINE,MAINE,ME,FIRST CIRCUIT,1ST,2014-12-31,12,140,107,0,1,32,7,5,0,1,1,133,102,0,31,NA,NA,NA,NA,NA,2014.4,2014,2015,ME
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,4TH,2014-12-31,12,1503,1060,13,0,430,36,17,12,0,7,1467,1043,1,423,NA,NA,NA,NA,NA,2014.4,2014,2015,MD
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,1ST,2014-12-31,12,730,558,7,0,165,32,25,5,0,2,698,533,2,163,NA,NA,NA,NA,NA,2014.4,2014,2015,MA
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,6TH,2014-12-31,12,1934,1499,11,1,423,41,27,10,1,3,1893,1472,1,420,NA,NA,NA,NA,NA,2014.4,2014,2015,MI
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,6TH,2014-12-31,12,579,461,1,0,117,17,15,1,0,1,562,446,0,116,NA,NA,NA,NA,NA,2014.4,2014,2015,MI
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,8TH,2014-12-31,12,884,740,2,2,140,38,34,1,2,1,846,706,1,139,NA,NA,NA,NA,NA,2014.4,2014,2015,MN
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,5TH,2014-12-31,12,344,130,3,0,211,8,5,3,0,0,336,125,0,211,NA,NA,NA,NA,NA,2014.4,2014,2015,MS
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,5TH,2014-12-31,12,443,199,0,0,244,6,4,0,0,2,437,195,0,242,NA,NA,NA,NA,NA,2014.4,2014,2015,MS
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,8TH,2014-12-31,12,857,577,1,0,279,19,15,1,0,3,838,562,0,276,NA,NA,NA,NA,NA,2014.4,2014,2015,MO
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,8TH,2014-12-31,12,558,385,0,0,173,11,10,0,0,1,547,375,0,172,NA,NA,NA,NA,NA,2014.4,2014,2015,MO
