STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE,FISCAL_YEAR
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,11,09/30/96,1996-09-30,1996
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,31,09/30/96,1996-09-30,1996
,TOTAL,,EIGHTH CIRCUIT,242,09/30/96,1996-09-30,1996
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,8,09/30/96,1996-09-30,1996
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,11,09/30/96,1996-09-30,1996
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,13,09/30/96,1996-09-30,1996
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,2,09/30/96,1996-09-30,1996
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,31,09/30/96,1996-09-30,1996
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,4,09/30/96,1996-09-30,1996
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,26,09/30/96,1996-09-30,1996
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,70,09/30/96,1996-09-30,1996
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,38,09/30/96,1996-09-30,1996
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,39,09/30/96,1996-09-30,1996
,TOTAL,,NINTH CIRCUIT,149,09/30/96,1996-09-30,1996
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,09/30/96,1996-09-30,1996
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,1,09/30/96,1996-09-30,1996
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,11,09/30/96,1996-09-30,1996
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,48,09/30/96,1996-09-30,1996
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,9,09/30/96,1996-09-30,1996
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,2,09/30/96,1996-09-30,1996
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,09/30/96,1996-09-30,1996
IDAHO,IDAHO,ID,NINTH CIRCUIT,25,09/30/96,1996-09-30,1996
MONTANA,MONTANA,MT,NINTH CIRCUIT,18,09/30/96,1996-09-30,1996
NEVADA,NEVADA,NV,NINTH CIRCUIT,5,09/30/96,1996-09-30,1996
OREGON,OREGON,OR,NINTH CIRCUIT,11,09/30/96,1996-09-30,1996
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,16,09/30/96,1996-09-30,1996
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,3,09/30/96,1996-09-30,1996
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,09/30/96,1996-09-30,1996
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,09/30/96,1996-09-30,1996
,TOTAL,,TENTH CIRCUIT,117,09/30/96,1996-09-30,1996
COLORADO,COLORADO,CO,TENTH CIRCUIT,19,09/30/96,1996-09-30,1996
KANSAS,KANSAS,KS,TENTH CIRCUIT,36,09/30/96,1996-09-30,1996
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,8,09/30/96,1996-09-30,1996
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,1,09/30/96,1996-09-30,1996
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,10,09/30/96,1996-09-30,1996
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,39,09/30/96,1996-09-30,1996
UTAH,UTAH,UT,TENTH CIRCUIT,2,09/30/96,1996-09-30,1996
WYOMING,WYOMING,WY,TENTH CIRCUIT,2,09/30/96,1996-09-30,1996
,TOTAL,,ELEVENTH CIRCUIT,88,09/30/96,1996-09-30,1996
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,3,09/30/96,1996-09-30,1996
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,2,09/30/96,1996-09-30,1996
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,4,09/30/96,1996-09-30,1996
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,4,09/30/96,1996-09-30,1996
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,22,09/30/96,1996-09-30,1996
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,3,09/30/96,1996-09-30,1996
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,2,09/30/96,1996-09-30,1996
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,37,09/30/96,1996-09-30,1996
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,11,09/30/96,1996-09-30,1996
,TOTAL,,TOTAL,883,09/30/95,1995-09-30,1995
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,09/30/95,1995-09-30,1995
,TOTAL,,FIRST CIRCUIT,4,09/30/95,1995-09-30,1995
MAINE,MAINE,ME,FIRST CIRCUIT,0,09/30/95,1995-09-30,1995
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,3,09/30/95,1995-09-30,1995
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,09/30/95,1995-09-30,1995
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,09/30/95,1995-09-30,1995
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,0,09/30/95,1995-09-30,1995
,TOTAL,,SECOND CIRCUIT,42,09/30/95,1995-09-30,1995
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,4,09/30/95,1995-09-30,1995
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,24,09/30/95,1995-09-30,1995
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,1,09/30/95,1995-09-30,1995
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,2,09/30/95,1995-09-30,1995
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,7,09/30/95,1995-09-30,1995
VERMONT,VERMONT,VT,SECOND CIRCUIT,4,09/30/95,1995-09-30,1995
,TOTAL,,THIRD CIRCUIT,33,09/30/95,1995-09-30,1995
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,09/30/95,1995-09-30,1995
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,5,09/30/95,1995-09-30,1995
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,4,09/30/95,1995-09-30,1995
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,12,09/30/95,1995-09-30,1995
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,12,09/30/95,1995-09-30,1995
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,09/30/95,1995-09-30,1995
,TOTAL,,FOURTH CIRCUIT,37,09/30/95,1995-09-30,1995
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,5,09/30/95,1995-09-30,1995
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,10,09/30/95,1995-09-30,1995
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,1,09/30/95,1995-09-30,1995
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,1,09/30/95,1995-09-30,1995
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,6,09/30/95,1995-09-30,1995
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,7,09/30/95,1995-09-30,1995
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,5,09/30/95,1995-09-30,1995
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1,09/30/95,1995-09-30,1995
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,1,09/30/95,1995-09-30,1995
,TOTAL,,FIFTH CIRCUIT,97,09/30/95,1995-09-30,1995
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,1,09/30/95,1995-09-30,1995
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,0,09/30/95,1995-09-30,1995
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,27,09/30/95,1995-09-30,1995
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,5,09/30/95,1995-09-30,1995
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,2,09/30/95,1995-09-30,1995
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,27,09/30/95,1995-09-30,1995
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,19,09/30/95,1995-09-30,1995
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,8,09/30/95,1995-09-30,1995
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,8,09/30/95,1995-09-30,1995
,TOTAL,,SIXTH CIRCUIT,89,09/30/95,1995-09-30,1995
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,7,09/30/95,1995-09-30,1995
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,10,09/30/95,1995-09-30,1995
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,17,09/30/95,1995-09-30,1995
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,22,09/30/95,1995-09-30,1995
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,9,09/30/95,1995-09-30,1995
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,10,09/30/95,1995-09-30,1995
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,7,09/30/95,1995-09-30,1995
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,5,09/30/95,1995-09-30,1995
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,2,09/30/95,1995-09-30,1995
,TOTAL,,SEVENTH CIRCUIT,102,09/30/95,1995-09-30,1995
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,1,09/30/95,1995-09-30,1995
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,27,09/30/95,1995-09-30,1995
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,8,09/30/95,1995-09-30,1995
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,7,09/30/95,1995-09-30,1995
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,13,09/30/95,1995-09-30,1995
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,6,09/30/95,1995-09-30,1995
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,40,09/30/95,1995-09-30,1995
,TOTAL,,EIGHTH CIRCUIT,195,09/30/95,1995-09-30,1995
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,10,09/30/95,1995-09-30,1995
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,14,09/30/95,1995-09-30,1995
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,9,09/30/95,1995-09-30,1995
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,5,09/30/95,1995-09-30,1995
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,22,09/30/95,1995-09-30,1995
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,3,09/30/95,1995-09-30,1995
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,25,09/30/95,1995-09-30,1995
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,53,09/30/95,1995-09-30,1995
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,20,09/30/95,1995-09-30,1995
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,35,09/30/95,1995-09-30,1995
,TOTAL,,NINTH CIRCUIT,137,09/30/95,1995-09-30,1995
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,09/30/95,1995-09-30,1995
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,4,09/30/95,1995-09-30,1995
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,10,09/30/95,1995-09-30,1995
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,32,09/30/95,1995-09-30,1995
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,8,09/30/95,1995-09-30,1995
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,3,09/30/95,1995-09-30,1995
HAWAII,HAWAII,HI,NINTH CIRCUIT,1,09/30/95,1995-09-30,1995
IDAHO,IDAHO,ID,NINTH CIRCUIT,26,09/30/95,1995-09-30,1995
MONTANA,MONTANA,MT,NINTH CIRCUIT,24,09/30/95,1995-09-30,1995
NEVADA,NEVADA,NV,NINTH CIRCUIT,1,09/30/95,1995-09-30,1995
OREGON,OREGON,OR,NINTH CIRCUIT,5,09/30/95,1995-09-30,1995
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,20,09/30/95,1995-09-30,1995
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,3,09/30/95,1995-09-30,1995
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,09/30/95,1995-09-30,1995
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,09/30/95,1995-09-30,1995
,TOTAL,,TENTH CIRCUIT,80,09/30/95,1995-09-30,1995
COLORADO,COLORADO,CO,TENTH CIRCUIT,14,09/30/95,1995-09-30,1995
KANSAS,KANSAS,KS,TENTH CIRCUIT,28,09/30/95,1995-09-30,1995
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,1,09/30/95,1995-09-30,1995
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,2,09/30/95,1995-09-30,1995
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,8,09/30/95,1995-09-30,1995
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,21,09/30/95,1995-09-30,1995
UTAH,UTAH,UT,TENTH CIRCUIT,1,09/30/95,1995-09-30,1995
WYOMING,WYOMING,WY,TENTH CIRCUIT,5,09/30/95,1995-09-30,1995
,TOTAL,,ELEVENTH CIRCUIT,67,09/30/95,1995-09-30,1995
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,7,09/30/95,1995-09-30,1995
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,3,09/30/95,1995-09-30,1995
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,0,09/30/95,1995-09-30,1995
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,3,09/30/95,1995-09-30,1995
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,10,09/30/95,1995-09-30,1995
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,2,09/30/95,1995-09-30,1995
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,2,09/30/95,1995-09-30,1995
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,31,09/30/95,1995-09-30,1995
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,9,09/30/95,1995-09-30,1995
,TOTAL,,TOTAL,931,09/30/94,1994-09-30,1994
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,09/30/94,1994-09-30,1994
,TOTAL,,FIRST CIRCUIT,17,09/30/94,1994-09-30,1994
MAINE,MAINE,ME,FIRST CIRCUIT,1,09/30/94,1994-09-30,1994
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,4,09/30/94,1994-09-30,1994
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,09/30/94,1994-09-30,1994
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,09/30/94,1994-09-30,1994
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,11,09/30/94,1994-09-30,1994
,TOTAL,,SECOND CIRCUIT,39,09/30/94,1994-09-30,1994
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,6,09/30/94,1994-09-30,1994
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,20,09/30/94,1994-09-30,1994
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,2,09/30/94,1994-09-30,1994
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,0,09/30/94,1994-09-30,1994
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,3,09/30/94,1994-09-30,1994
VERMONT,VERMONT,VT,SECOND CIRCUIT,8,09/30/94,1994-09-30,1994
,TOTAL,,THIRD CIRCUIT,13,09/30/94,1994-09-30,1994
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,09/30/94,1994-09-30,1994
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,1,09/30/94,1994-09-30,1994
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,2,09/30/94,1994-09-30,1994
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,4,09/30/94,1994-09-30,1994
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,6,09/30/94,1994-09-30,1994
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,09/30/94,1994-09-30,1994
,TOTAL,,FOURTH CIRCUIT,39,09/30/94,1994-09-30,1994
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,3,09/30/94,1994-09-30,1994
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,16,09/30/94,1994-09-30,1994
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,0,09/30/94,1994-09-30,1994
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,1,09/30/94,1994-09-30,1994
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,6,09/30/94,1994-09-30,1994
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,8,09/30/94,1994-09-30,1994
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,2,09/30/94,1994-09-30,1994
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,3,09/30/94,1994-09-30,1994
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,09/30/94,1994-09-30,1994
,TOTAL,,FIFTH CIRCUIT,123,09/30/94,1994-09-30,1994
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,0,09/30/94,1994-09-30,1994
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,3,09/30/94,1994-09-30,1994
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,46,09/30/94,1994-09-30,1994
