STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12_full,QTR_ENDED,DATE,CHAP_12,impute,impute1
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,9,09/30/94,1994-09-30,NA,3,3
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,15,09/30/94,1994-09-30,NA,2,2
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,48,09/30/94,1994-09-30,NA,13,13
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,27,09/30/94,1994-09-30,NA,12,12
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,31,09/30/94,1994-09-30,NA,9,9
NA,TOTAL,NA,NINTH CIRCUIT,160,09/30/94,1994-09-30,NA,25,25
ALASKA,ALASKA,AK,NINTH CIRCUIT,1,09/30/94,1994-09-30,NA,0,0
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,12,09/30/94,1994-09-30,NA,2,2
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,14,09/30/94,1994-09-30,NA,2,2
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,45,09/30/94,1994-09-30,NA,8,8
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,11,09/30/94,1994-09-30,NA,0,0
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,5,09/30/94,1994-09-30,NA,1,1
HAWAII,HAWAII,HI,NINTH CIRCUIT,2,09/30/94,1994-09-30,NA,0,0
IDAHO,IDAHO,ID,NINTH CIRCUIT,25,09/30/94,1994-09-30,NA,3,3
MONTANA,MONTANA,MT,NINTH CIRCUIT,20,09/30/94,1994-09-30,NA,3,3
NEVADA,NEVADA,NV,NINTH CIRCUIT,2,09/30/94,1994-09-30,NA,1,1
OREGON,OREGON,OR,NINTH CIRCUIT,12,09/30/94,1994-09-30,NA,3,3
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,10,09/30/94,1994-09-30,NA,1,1
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,1,09/30/94,1994-09-30,NA,1,1
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,09/30/94,1994-09-30,NA,0,0
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,09/30/94,1994-09-30,NA,0,0
NA,TOTAL,NA,TENTH CIRCUIT,83,09/30/94,1994-09-30,NA,22,22
COLORADO,COLORADO,CO,TENTH CIRCUIT,12,09/30/94,1994-09-30,NA,2,2
KANSAS,KANSAS,KS,TENTH CIRCUIT,21,09/30/94,1994-09-30,NA,4,4
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,2,09/30/94,1994-09-30,NA,0,0
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,1,09/30/94,1994-09-30,NA,0,0
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,10,09/30/94,1994-09-30,NA,1,1
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,29,09/30/94,1994-09-30,NA,12,12
UTAH,UTAH,UT,TENTH CIRCUIT,2,09/30/94,1994-09-30,NA,0,0
WYOMING,WYOMING,WY,TENTH CIRCUIT,6,09/30/94,1994-09-30,NA,3,3
NA,TOTAL,NA,ELEVENTH CIRCUIT,60,09/30/94,1994-09-30,NA,18,18
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,5,09/30/94,1994-09-30,NA,3,3
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,3,09/30/94,1994-09-30,NA,0,0
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,1,09/30/94,1994-09-30,NA,1,1
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,11,09/30/94,1994-09-30,NA,2,2
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,9,09/30/94,1994-09-30,NA,2,2
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,09/30/94,1994-09-30,NA,0,0
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,1,09/30/94,1994-09-30,NA,0,0
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,23,09/30/94,1994-09-30,NA,8,8
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,7,09/30/94,1994-09-30,NA,2,2
NA,TOTAL,NA,TOTAL,976,06/30/94,1994-06-30,NA,251,251
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,06/30/94,1994-06-30,NA,0,0
NA,TOTAL,NA,FIRST CIRCUIT,20,06/30/94,1994-06-30,NA,8,8
MAINE,MAINE,ME,FIRST CIRCUIT,2,06/30/94,1994-06-30,NA,0,0
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,5,06/30/94,1994-06-30,NA,3,3
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,06/30/94,1994-06-30,NA,1,1
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,06/30/94,1994-06-30,NA,0,0
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,12,06/30/94,1994-06-30,NA,4,4
NA,TOTAL,NA,SECOND CIRCUIT,44,06/30/94,1994-06-30,NA,12,12
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,5,06/30/94,1994-06-30,NA,2,2
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,27,06/30/94,1994-06-30,NA,6,6
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,2,06/30/94,1994-06-30,NA,1,1
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,1,06/30/94,1994-06-30,NA,0,0
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,4,06/30/94,1994-06-30,NA,0,0
VERMONT,VERMONT,VT,SECOND CIRCUIT,5,06/30/94,1994-06-30,NA,3,3
NA,TOTAL,NA,THIRD CIRCUIT,14,06/30/94,1994-06-30,NA,1,1
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,2,06/30/94,1994-06-30,NA,0,0
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,2,06/30/94,1994-06-30,NA,-1,-1
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,3,06/30/94,1994-06-30,NA,1,1
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,1,06/30/94,1994-06-30,NA,0,0
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,6,06/30/94,1994-06-30,NA,1,1
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,06/30/94,1994-06-30,NA,0,0
NA,TOTAL,NA,FOURTH CIRCUIT,37,06/30/94,1994-06-30,NA,7,7
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,1,06/30/94,1994-06-30,NA,1,1
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,15,06/30/94,1994-06-30,NA,4,4
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,0,06/30/94,1994-06-30,NA,0,0
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,2,06/30/94,1994-06-30,NA,0,0
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,3,06/30/94,1994-06-30,NA,1,1
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,11,06/30/94,1994-06-30,NA,1,1
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,2,06/30/94,1994-06-30,NA,0,0
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,3,06/30/94,1994-06-30,NA,0,0
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,06/30/94,1994-06-30,NA,0,0
NA,TOTAL,NA,FIFTH CIRCUIT,140,06/30/94,1994-06-30,NA,29,29
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,0,06/30/94,1994-06-30,NA,-6,-6
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,2,06/30/94,1994-06-30,NA,0,0
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,53,06/30/94,1994-06-30,NA,9,9
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,12,06/30/94,1994-06-30,NA,4,4
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,4,06/30/94,1994-06-30,NA,0,0
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,37,06/30/94,1994-06-30,NA,11,11
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,12,06/30/94,1994-06-30,NA,3,3
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,9,06/30/94,1994-06-30,NA,2,2
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,11,06/30/94,1994-06-30,NA,0,0
NA,TOTAL,NA,SIXTH CIRCUIT,102,06/30/94,1994-06-30,NA,32,32
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,2,06/30/94,1994-06-30,NA,2,2
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,7,06/30/94,1994-06-30,NA,2,2
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,10,06/30/94,1994-06-30,NA,5,5
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,27,06/30/94,1994-06-30,NA,8,8
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,21,06/30/94,1994-06-30,NA,6,6
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,16,06/30/94,1994-06-30,NA,6,6
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,12,06/30/94,1994-06-30,NA,3,3
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,5,06/30/94,1994-06-30,NA,0,0
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,2,06/30/94,1994-06-30,NA,0,0
NA,TOTAL,NA,SEVENTH CIRCUIT,120,06/30/94,1994-06-30,NA,30,30
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,7,06/30/94,1994-06-30,NA,2,2
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,18,06/30/94,1994-06-30,NA,4,4
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,8,06/30/94,1994-06-30,NA,3,3
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,11,06/30/94,1994-06-30,NA,1,1
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,27,06/30/94,1994-06-30,NA,9,9
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,7,06/30/94,1994-06-30,NA,1,1
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,42,06/30/94,1994-06-30,NA,10,10
NA,TOTAL,NA,EIGHTH CIRCUIT,187,06/30/94,1994-06-30,NA,56,56
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,11,06/30/94,1994-06-30,NA,5,5
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,14,06/30/94,1994-06-30,NA,5,5
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,12,06/30/94,1994-06-30,NA,4,4
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,4,06/30/94,1994-06-30,NA,1,1
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,21,06/30/94,1994-06-30,NA,9,9
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,9,06/30/94,1994-06-30,NA,3,3
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,13,06/30/94,1994-06-30,NA,1,1
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,47,06/30/94,1994-06-30,NA,12,12
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,24,06/30/94,1994-06-30,NA,8,8
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,32,06/30/94,1994-06-30,NA,8,8
NA,TOTAL,NA,NINTH CIRCUIT,173,06/30/94,1994-06-30,NA,37,37
ALASKA,ALASKA,AK,NINTH CIRCUIT,3,06/30/94,1994-06-30,NA,1,1
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,11,06/30/94,1994-06-30,NA,2,2
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,18,06/30/94,1994-06-30,NA,2,2
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,47,06/30/94,1994-06-30,NA,11,11
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,11,06/30/94,1994-06-30,NA,1,1
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,5,06/30/94,1994-06-30,NA,1,1
HAWAII,HAWAII,HI,NINTH CIRCUIT,2,06/30/94,1994-06-30,NA,1,1
IDAHO,IDAHO,ID,NINTH CIRCUIT,27,06/30/94,1994-06-30,NA,8,8
MONTANA,MONTANA,MT,NINTH CIRCUIT,24,06/30/94,1994-06-30,NA,6,6
NEVADA,NEVADA,NV,NINTH CIRCUIT,2,06/30/94,1994-06-30,NA,0,0
OREGON,OREGON,OR,NINTH CIRCUIT,12,06/30/94,1994-06-30,NA,3,3
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,11,06/30/94,1994-06-30,NA,1,1
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,0,06/30/94,1994-06-30,NA,0,0
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,06/30/94,1994-06-30,NA,0,0
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/94,1994-06-30,NA,0,0
NA,TOTAL,NA,TENTH CIRCUIT,82,06/30/94,1994-06-30,NA,28,28
COLORADO,COLORADO,CO,TENTH CIRCUIT,13,06/30/94,1994-06-30,NA,4,4
KANSAS,KANSAS,KS,TENTH CIRCUIT,24,06/30/94,1994-06-30,NA,9,9
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,4,06/30/94,1994-06-30,NA,0,0
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,2,06/30/94,1994-06-30,NA,0,0
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,9,06/30/94,1994-06-30,NA,5,5
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,22,06/30/94,1994-06-30,NA,9,9
UTAH,UTAH,UT,TENTH CIRCUIT,5,06/30/94,1994-06-30,NA,0,0
WYOMING,WYOMING,WY,TENTH CIRCUIT,3,06/30/94,1994-06-30,NA,1,1
NA,TOTAL,NA,ELEVENTH CIRCUIT,57,06/30/94,1994-06-30,NA,11,11
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,6,06/30/94,1994-06-30,NA,0,0
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,3,06/30/94,1994-06-30,NA,3,3
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,0,06/30/94,1994-06-30,NA,0,0
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,9,06/30/94,1994-06-30,NA,1,1
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,10,06/30/94,1994-06-30,NA,0,0
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,2,06/30/94,1994-06-30,NA,0,0
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,1,06/30/94,1994-06-30,NA,0,0
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,19,06/30/94,1994-06-30,NA,7,7
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,7,06/30/94,1994-06-30,NA,0,0
NA,TOTAL,NA,TOTAL,1062,03/31/94,1994-03-31,NA,237,237
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,03/31/94,1994-03-31,NA,0,0
NA,TOTAL,NA,FIRST CIRCUIT,14,03/31/94,1994-03-31,NA,3,3
MAINE,MAINE,ME,FIRST CIRCUIT,3,03/31/94,1994-03-31,NA,0,0
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,3,03/31/94,1994-03-31,NA,0,0
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,03/31/94,1994-03-31,NA,0,0
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,03/31/94,1994-03-31,NA,0,0
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,8,03/31/94,1994-03-31,NA,3,3
NA,TOTAL,NA,SECOND CIRCUIT,44,03/31/94,1994-03-31,NA,8,8
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,4,03/31/94,1994-03-31,NA,0,0
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,28,03/31/94,1994-03-31,NA,5,5
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,1,03/31/94,1994-03-31,NA,1,1
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,1,03/31/94,1994-03-31,NA,0,0
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,8,03/31/94,1994-03-31,NA,2,2
VERMONT,VERMONT,VT,SECOND CIRCUIT,2,03/31/94,1994-03-31,NA,0,0
NA,TOTAL,NA,THIRD CIRCUIT,15,03/31/94,1994-03-31,NA,4,4
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,2,03/31/94,1994-03-31,NA,0,0
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,3,03/31/94,1994-03-31,NA,2,2
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,3,03/31/94,1994-03-31,NA,0,0
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,2,03/31/94,1994-03-31,NA,0,0
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,5,03/31/94,1994-03-31,NA,2,2
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,03/31/94,1994-03-31,NA,0,0
NA,TOTAL,NA,FOURTH CIRCUIT,37,03/31/94,1994-03-31,NA,14,14
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,0,03/31/94,1994-03-31,NA,0,0
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,15,03/31/94,1994-03-31,NA,5,5
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,0,03/31/94,1994-03-31,NA,0,0
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,3,03/31/94,1994-03-31,NA,0,0
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,3,03/31/94,1994-03-31,NA,0,0
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,9,03/31/94,1994-03-31,NA,6,6
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,4,03/31/94,1994-03-31,NA,0,0
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,3,03/31/94,1994-03-31,NA,3,3
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,03/31/94,1994-03-31,NA,0,0
NA,TOTAL,NA,FIFTH CIRCUIT,159,03/31/94,1994-03-31,NA,41,41
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,1,03/31/94,1994-03-31,NA,0,0
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,6,03/31/94,1994-03-31,NA,1,1
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,58,03/31/94,1994-03-31,NA,15,15
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,13,03/31/94,1994-03-31,NA,1,1
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,5,03/31/94,1994-03-31,NA,1,1
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,37,03/31/94,1994-03-31,NA,10,10
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,13,03/31/94,1994-03-31,NA,6,6
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,11,03/31/94,1994-03-31,NA,3,3
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,15,03/31/94,1994-03-31,NA,4,4
NA,TOTAL,NA,SIXTH CIRCUIT,101,03/31/94,1994-03-31,NA,19,19
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,1,03/31/94,1994-03-31,NA,0,0
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,6,03/31/94,1994-03-31,NA,2,2
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,8,03/31/94,1994-03-31,NA,2,2
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,30,03/31/94,1994-03-31,NA,2,2
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,22,03/31/94,1994-03-31,NA,3,3
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,14,03/31/94,1994-03-31,NA,4,4
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,12,03/31/94,1994-03-31,NA,5,5
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,6,03/31/94,1994-03-31,NA,0,0
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,2,03/31/94,1994-03-31,NA,1,1
NA,TOTAL,NA,SEVENTH CIRCUIT,156,03/31/94,1994-03-31,NA,33,33
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,11,03/31/94,1994-03-31,NA,2,2
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,29,03/31/94,1994-03-31,NA,5,5
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,9,03/31/94,1994-03-31,NA,1,1
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,17,03/31/94,1994-03-31,NA,4,4
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,27,03/31/94,1994-03-31,NA,7,7
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,9,03/31/94,1994-03-31,NA,1,1
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,54,03/31/94,1994-03-31,NA,13,13
NA,TOTAL,NA,EIGHTH CIRCUIT,201,03/31/94,1994-03-31,NA,36,36
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,11,03/31/94,1994-03-31,NA,1,1
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,12,03/31/94,1994-03-31,NA,2,2
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,11,03/31/94,1994-03-31,NA,2,2
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,5,03/31/94,1994-03-31,NA,0,0
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,20,03/31/94,1994-03-31,NA,6,6
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,11,03/31/94,1994-03-31,NA,0,0
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,16,03/31/94,1994-03-31,NA,7,7
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,53,03/31/94,1994-03-31,NA,11,11
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,27,03/31/94,1994-03-31,NA,4,4
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,35,03/31/94,1994-03-31,NA,3,3
NA,TOTAL,NA,NINTH CIRCUIT,182,03/31/94,1994-03-31,NA,45,45
ALASKA,ALASKA,AK,NINTH CIRCUIT,2,03/31/94,1994-03-31,NA,0,0
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,12,03/31/94,1994-03-31,NA,4,4
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,21,03/31/94,1994-03-31,NA,3,3
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,45,03/31/94,1994-03-31,NA,15,15
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,11,03/31/94,1994-03-31,NA,4,4
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,4,03/31/94,1994-03-31,NA,1,1
HAWAII,HAWAII,HI,NINTH CIRCUIT,1,03/31/94,1994-03-31,NA,1,1
IDAHO,IDAHO,ID,NINTH CIRCUIT,33,03/31/94,1994-03-31,NA,4,4
MONTANA,MONTANA,MT,NINTH CIRCUIT,24,03/31/94,1994-03-31,NA,4,4
NEVADA,NEVADA,NV,NINTH CIRCUIT,2,03/31/94,1994-03-31,NA,1,1
OREGON,OREGON,OR,NINTH CIRCUIT,11,03/31/94,1994-03-31,NA,5,5
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,14,03/31/94,1994-03-31,NA,3,3
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,2,03/31/94,1994-03-31,NA,0,0
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,03/31/94,1994-03-31,NA,0,0
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,03/31/94,1994-03-31,NA,0,0
NA,TOTAL,NA,TENTH CIRCUIT,93,03/31/94,1994-03-31,NA,17,17
COLORADO,COLORADO,CO,TENTH CIRCUIT,17,03/31/94,1994-03-31,NA,3,3
KANSAS,KANSAS,KS,TENTH CIRCUIT,23,03/31/94,1994-03-31,NA,3,3
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,5,03/31/94,1994-03-31,NA,2,2
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,2,03/31/94,1994-03-31,NA,0,0
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,9,03/31/94,1994-03-31,NA,2,2
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,25,03/31/94,1994-03-31,NA,3,3
UTAH,UTAH,UT,TENTH CIRCUIT,9,03/31/94,1994-03-31,NA,2,2
WYOMING,WYOMING,WY,TENTH CIRCUIT,3,03/31/94,1994-03-31,NA,2,2
NA,TOTAL,NA,ELEVENTH CIRCUIT,60,03/31/94,1994-03-31,NA,17,17
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,7,03/31/94,1994-03-31,NA,2,2
