STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12_full,QTR_ENDED,DATE,CHAP_12,impute,impute1
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,19,06/30/97,1997-06-30,5,5,NA
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,6,06/30/97,1997-06-30,2,2,NA
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,8,06/30/97,1997-06-30,2,2,NA
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,8,06/30/97,1997-06-30,2,2,NA
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,9,06/30/97,1997-06-30,2,2,NA
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,29,06/30/97,1997-06-30,4,4,NA
NA,TOTAL,NA,EIGHTH CIRCUIT,224,06/30/97,1997-06-30,70,70,NA
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,7,06/30/97,1997-06-30,1,1,NA
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,7,06/30/97,1997-06-30,3,3,NA
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,9,06/30/97,1997-06-30,2,2,NA
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,6,06/30/97,1997-06-30,2,2,NA
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,27,06/30/97,1997-06-30,10,10,NA
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,3,06/30/97,1997-06-30,2,2,NA
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,14,06/30/97,1997-06-30,2,2,NA
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,58,06/30/97,1997-06-30,27,27,NA
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,50,06/30/97,1997-06-30,10,10,NA
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,43,06/30/97,1997-06-30,11,11,NA
NA,TOTAL,NA,NINTH CIRCUIT,139,06/30/97,1997-06-30,44,44,NA
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,06/30/97,1997-06-30,0,0,NA
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,6,06/30/97,1997-06-30,3,3,NA
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,4,06/30/97,1997-06-30,1,1,NA
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,31,06/30/97,1997-06-30,7,7,NA
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,8,06/30/97,1997-06-30,3,3,NA
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,2,06/30/97,1997-06-30,0,0,NA
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,06/30/97,1997-06-30,0,0,NA
IDAHO,IDAHO,ID,NINTH CIRCUIT,39,06/30/97,1997-06-30,22,22,NA
MONTANA,MONTANA,MT,NINTH CIRCUIT,22,06/30/97,1997-06-30,2,2,NA
NEVADA,NEVADA,NV,NINTH CIRCUIT,3,06/30/97,1997-06-30,0,0,NA
OREGON,OREGON,OR,NINTH CIRCUIT,9,06/30/97,1997-06-30,1,1,NA
