STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,1,06/30/01,2001-06-30
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,7,06/30/01,2001-06-30
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,6,06/30/01,2001-06-30
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,0,06/30/01,2001-06-30
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,1,06/30/01,2001-06-30
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,0,06/30/01,2001-06-30
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,7,06/30/01,2001-06-30
,TOTAL,,EIGHTH CIRCUIT,30,06/30/01,2001-06-30
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,0,06/30/01,2001-06-30
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,0,06/30/01,2001-06-30
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,1,06/30/01,2001-06-30
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,2,06/30/01,2001-06-30
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,4,06/30/01,2001-06-30
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,3,06/30/01,2001-06-30
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,3,06/30/01,2001-06-30
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,12,06/30/01,2001-06-30
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,5,06/30/01,2001-06-30
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,0,06/30/01,2001-06-30
,TOTAL,,NINTH CIRCUIT,30,06/30/01,2001-06-30
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,06/30/01,2001-06-30
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,0,06/30/01,2001-06-30
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,2,06/30/01,2001-06-30
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,9,06/30/01,2001-06-30
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,1,06/30/01,2001-06-30
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,0,06/30/01,2001-06-30
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,06/30/01,2001-06-30
IDAHO,IDAHO,ID,NINTH CIRCUIT,3,06/30/01,2001-06-30
MONTANA,MONTANA,MT,NINTH CIRCUIT,1,06/30/01,2001-06-30
NEVADA,NEVADA,NV,NINTH CIRCUIT,1,06/30/01,2001-06-30
OREGON,OREGON,OR,NINTH CIRCUIT,5,06/30/01,2001-06-30
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,7,06/30/01,2001-06-30
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,1,06/30/01,2001-06-30
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,06/30/01,2001-06-30
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/01,2001-06-30
,TOTAL,,TENTH CIRCUIT,20,06/30/01,2001-06-30
COLORADO,COLORADO,CO,TENTH CIRCUIT,0,06/30/01,2001-06-30
KANSAS,KANSAS,KS,TENTH CIRCUIT,5,06/30/01,2001-06-30
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,2,06/30/01,2001-06-30
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,2,06/30/01,2001-06-30
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,2,06/30/01,2001-06-30
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,8,06/30/01,2001-06-30
UTAH,UTAH,UT,TENTH CIRCUIT,1,06/30/01,2001-06-30
WYOMING,WYOMING,WY,TENTH CIRCUIT,0,06/30/01,2001-06-30
,TOTAL,,ELEVENTH CIRCUIT,23,06/30/01,2001-06-30
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,0,06/30/01,2001-06-30
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,0,06/30/01,2001-06-30
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,0,06/30/01,2001-06-30
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,1,06/30/01,2001-06-30
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,2,06/30/01,2001-06-30
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,06/30/01,2001-06-30
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,1,06/30/01,2001-06-30
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,17,06/30/01,2001-06-30
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,2,06/30/01,2001-06-30
,TOTAL,,TOTAL,12,03/31/01,2001-03-31
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,FIRST CIRCUIT,0,03/31/01,2001-03-31
MAINE,MAINE,ME,FIRST CIRCUIT,0,03/31/01,2001-03-31
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,0,03/31/01,2001-03-31
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,03/31/01,2001-03-31
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,03/31/01,2001-03-31
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,SECOND CIRCUIT,4,03/31/01,2001-03-31
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,1,03/31/01,2001-03-31
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,2,03/31/01,2001-03-31
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,03/31/01,2001-03-31
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,0,03/31/01,2001-03-31
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,0,03/31/01,2001-03-31
VERMONT,VERMONT,VT,SECOND CIRCUIT,1,03/31/01,2001-03-31
,TOTAL,,THIRD CIRCUIT,1,03/31/01,2001-03-31
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,03/31/01,2001-03-31
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,1,03/31/01,2001-03-31
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,0,03/31/01,2001-03-31
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,0,03/31/01,2001-03-31
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,0,03/31/01,2001-03-31
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,FOURTH CIRCUIT,0,03/31/01,2001-03-31
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,0,03/31/01,2001-03-31
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,0,03/31/01,2001-03-31
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,0,03/31/01,2001-03-31
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,0,03/31/01,2001-03-31
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,0,03/31/01,2001-03-31
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,0,03/31/01,2001-03-31
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,0,03/31/01,2001-03-31
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,0,03/31/01,2001-03-31
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,FIFTH CIRCUIT,0,03/31/01,2001-03-31
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,0,03/31/01,2001-03-31
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,0,03/31/01,2001-03-31
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,0,03/31/01,2001-03-31
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,0,03/31/01,2001-03-31
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,0,03/31/01,2001-03-31
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,0,03/31/01,2001-03-31
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,0,03/31/01,2001-03-31
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,0,03/31/01,2001-03-31
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,SIXTH CIRCUIT,0,03/31/01,2001-03-31
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,0,03/31/01,2001-03-31
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,0,03/31/01,2001-03-31
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,0,03/31/01,2001-03-31
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,0,03/31/01,2001-03-31
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,0,03/31/01,2001-03-31
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,0,03/31/01,2001-03-31
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,0,03/31/01,2001-03-31
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,0,03/31/01,2001-03-31
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,SEVENTH CIRCUIT,2,03/31/01,2001-03-31
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,0,03/31/01,2001-03-31
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,1,03/31/01,2001-03-31
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,0,03/31/01,2001-03-31
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,0,03/31/01,2001-03-31
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,1,03/31/01,2001-03-31
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,0,03/31/01,2001-03-31
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,EIGHTH CIRCUIT,1,03/31/01,2001-03-31
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,0,03/31/01,2001-03-31
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,0,03/31/01,2001-03-31
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,0,03/31/01,2001-03-31
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,1,03/31/01,2001-03-31
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,0,03/31/01,2001-03-31
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,0,03/31/01,2001-03-31
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,0,03/31/01,2001-03-31
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,0,03/31/01,2001-03-31
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,0,03/31/01,2001-03-31
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,NINTH CIRCUIT,1,03/31/01,2001-03-31
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,03/31/01,2001-03-31
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,0,03/31/01,2001-03-31
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,0,03/31/01,2001-03-31
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,0,03/31/01,2001-03-31
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,0,03/31/01,2001-03-31
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,0,03/31/01,2001-03-31
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,03/31/01,2001-03-31
IDAHO,IDAHO,ID,NINTH CIRCUIT,1,03/31/01,2001-03-31
MONTANA,MONTANA,MT,NINTH CIRCUIT,0,03/31/01,2001-03-31
NEVADA,NEVADA,NV,NINTH CIRCUIT,0,03/31/01,2001-03-31
OREGON,OREGON,OR,NINTH CIRCUIT,0,03/31/01,2001-03-31
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,0,03/31/01,2001-03-31
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,0,03/31/01,2001-03-31
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,03/31/01,2001-03-31
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,TENTH CIRCUIT,1,03/31/01,2001-03-31
COLORADO,COLORADO,CO,TENTH CIRCUIT,1,03/31/01,2001-03-31
KANSAS,KANSAS,KS,TENTH CIRCUIT,0,03/31/01,2001-03-31
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,0,03/31/01,2001-03-31
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,0,03/31/01,2001-03-31
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,0,03/31/01,2001-03-31
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,0,03/31/01,2001-03-31
UTAH,UTAH,UT,TENTH CIRCUIT,0,03/31/01,2001-03-31
WYOMING,WYOMING,WY,TENTH CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,ELEVENTH CIRCUIT,2,03/31/01,2001-03-31
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,0,03/31/01,2001-03-31
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,0,03/31/01,2001-03-31
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,1,03/31/01,2001-03-31
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,0,03/31/01,2001-03-31
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,1,03/31/01,2001-03-31
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,03/31/01,2001-03-31
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,0,03/31/01,2001-03-31
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,0,03/31/01,2001-03-31
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,0,03/31/01,2001-03-31
,TOTAL,,TOTAL,13,12/31/00,2000-12-31
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,FIRST CIRCUIT,0,12/31/00,2000-12-31
MAINE,MAINE,ME,FIRST CIRCUIT,0,12/31/00,2000-12-31
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,0,12/31/00,2000-12-31
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,12/31/00,2000-12-31
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,12/31/00,2000-12-31
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,SECOND CIRCUIT,0,12/31/00,2000-12-31
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,0,12/31/00,2000-12-31
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,0,12/31/00,2000-12-31
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,12/31/00,2000-12-31
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,0,12/31/00,2000-12-31
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,0,12/31/00,2000-12-31
VERMONT,VERMONT,VT,SECOND CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,THIRD CIRCUIT,2,12/31/00,2000-12-31
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,12/31/00,2000-12-31
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,1,12/31/00,2000-12-31
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,0,12/31/00,2000-12-31
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,1,12/31/00,2000-12-31
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,0,12/31/00,2000-12-31
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,FOURTH CIRCUIT,0,12/31/00,2000-12-31
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,0,12/31/00,2000-12-31
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,0,12/31/00,2000-12-31
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,0,12/31/00,2000-12-31
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,0,12/31/00,2000-12-31
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,0,12/31/00,2000-12-31
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,0,12/31/00,2000-12-31
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,0,12/31/00,2000-12-31
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,0,12/31/00,2000-12-31
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,FIFTH CIRCUIT,0,12/31/00,2000-12-31
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,0,12/31/00,2000-12-31
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,0,12/31/00,2000-12-31
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,0,12/31/00,2000-12-31
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,0,12/31/00,2000-12-31
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,0,12/31/00,2000-12-31
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,0,12/31/00,2000-12-31
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,0,12/31/00,2000-12-31
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,0,12/31/00,2000-12-31
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,SIXTH CIRCUIT,1,12/31/00,2000-12-31
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,0,12/31/00,2000-12-31
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,0,12/31/00,2000-12-31
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,0,12/31/00,2000-12-31
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,0,12/31/00,2000-12-31
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,0,12/31/00,2000-12-31
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,1,12/31/00,2000-12-31
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,0,12/31/00,2000-12-31
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,0,12/31/00,2000-12-31
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,SEVENTH CIRCUIT,7,12/31/00,2000-12-31
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,0,12/31/00,2000-12-31
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,4,12/31/00,2000-12-31
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,2,12/31/00,2000-12-31
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,1,12/31/00,2000-12-31
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,0,12/31/00,2000-12-31
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,0,12/31/00,2000-12-31
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,NINTH CIRCUIT,2,12/31/00,2000-12-31
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,12/31/00,2000-12-31
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,1,12/31/00,2000-12-31
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,0,12/31/00,2000-12-31
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,1,12/31/00,2000-12-31
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,0,12/31/00,2000-12-31
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,0,12/31/00,2000-12-31
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,12/31/00,2000-12-31
IDAHO,IDAHO,ID,NINTH CIRCUIT,0,12/31/00,2000-12-31
MONTANA,MONTANA,MT,NINTH CIRCUIT,0,12/31/00,2000-12-31
NEVADA,NEVADA,NV,NINTH CIRCUIT,0,12/31/00,2000-12-31
OREGON,OREGON,OR,NINTH CIRCUIT,0,12/31/00,2000-12-31
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,0,12/31/00,2000-12-31
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,0,12/31/00,2000-12-31
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,12/31/00,2000-12-31
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,TENTH CIRCUIT,1,12/31/00,2000-12-31
COLORADO,COLORADO,CO,TENTH CIRCUIT,0,12/31/00,2000-12-31
KANSAS,KANSAS,KS,TENTH CIRCUIT,0,12/31/00,2000-12-31
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,0,12/31/00,2000-12-31
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,0,12/31/00,2000-12-31
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,0,12/31/00,2000-12-31
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,1,12/31/00,2000-12-31
UTAH,UTAH,UT,TENTH CIRCUIT,0,12/31/00,2000-12-31
WYOMING,WYOMING,WY,TENTH CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,ELEVENTH CIRCUIT,0,12/31/00,2000-12-31
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,0,12/31/00,2000-12-31
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,0,12/31/00,2000-12-31
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,0,12/31/00,2000-12-31
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,0,12/31/00,2000-12-31
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,0,12/31/00,2000-12-31
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,12/31/00,2000-12-31
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,0,12/31/00,2000-12-31
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,0,12/31/00,2000-12-31
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,0,12/31/00,2000-12-31
,TOTAL,,TOTAL,19,09/30/00,2000-09-30
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,09/30/00,2000-09-30
,TOTAL,,FIRST CIRCUIT,0,09/30/00,2000-09-30
MAINE,MAINE,ME,FIRST CIRCUIT,0,09/30/00,2000-09-30
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,0,09/30/00,2000-09-30
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,09/30/00,2000-09-30
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,09/30/00,2000-09-30
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,0,09/30/00,2000-09-30
,TOTAL,,SECOND CIRCUIT,0,09/30/00,2000-09-30
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,0,09/30/00,2000-09-30
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,0,09/30/00,2000-09-30
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,09/30/00,2000-09-30
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,0,09/30/00,2000-09-30
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,0,09/30/00,2000-09-30
VERMONT,VERMONT,VT,SECOND CIRCUIT,0,09/30/00,2000-09-30
,TOTAL,,THIRD CIRCUIT,0,09/30/00,2000-09-30
