STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE
,TOTAL,,SIXTH CIRCUIT,1,12/31/01,2001-12-31
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,0,12/31/01,2001-12-31
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,0,12/31/01,2001-12-31
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,0,12/31/01,2001-12-31
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,0,12/31/01,2001-12-31
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,0,12/31/01,2001-12-31
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,0,12/31/01,2001-12-31
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,0,12/31/01,2001-12-31
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,0,12/31/01,2001-12-31
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,1,12/31/01,2001-12-31
,TOTAL,,SEVENTH CIRCUIT,2,12/31/01,2001-12-31
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,0,12/31/01,2001-12-31
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,2,12/31/01,2001-12-31
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,0,12/31/01,2001-12-31
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,0,12/31/01,2001-12-31
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,0,12/31/01,2001-12-31
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,0,12/31/01,2001-12-31
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,0,12/31/01,2001-12-31
,TOTAL,,EIGHTH CIRCUIT,3,12/31/01,2001-12-31
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,0,12/31/01,2001-12-31
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,0,12/31/01,2001-12-31
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,0,12/31/01,2001-12-31
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,0,12/31/01,2001-12-31
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,0,12/31/01,2001-12-31
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,0,12/31/01,2001-12-31
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,0,12/31/01,2001-12-31
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,0,12/31/01,2001-12-31
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,3,12/31/01,2001-12-31
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,0,12/31/01,2001-12-31
,TOTAL,,NINTH CIRCUIT,1,12/31/01,2001-12-31
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,12/31/01,2001-12-31
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,0,12/31/01,2001-12-31
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,0,12/31/01,2001-12-31
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,0,12/31/01,2001-12-31
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,0,12/31/01,2001-12-31
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,0,12/31/01,2001-12-31
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,12/31/01,2001-12-31
IDAHO,IDAHO,ID,NINTH CIRCUIT,0,12/31/01,2001-12-31
MONTANA,MONTANA,MT,NINTH CIRCUIT,1,12/31/01,2001-12-31
NEVADA,NEVADA,NV,NINTH CIRCUIT,0,12/31/01,2001-12-31
OREGON,OREGON,OR,NINTH CIRCUIT,0,12/31/01,2001-12-31
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,0,12/31/01,2001-12-31
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,0,12/31/01,2001-12-31
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,12/31/01,2001-12-31
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,12/31/01,2001-12-31
,TOTAL,,TENTH CIRCUIT,3,12/31/01,2001-12-31
COLORADO,COLORADO,CO,TENTH CIRCUIT,0,12/31/01,2001-12-31
KANSAS,KANSAS,KS,TENTH CIRCUIT,3,12/31/01,2001-12-31
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,0,12/31/01,2001-12-31
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,0,12/31/01,2001-12-31
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,0,12/31/01,2001-12-31
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,0,12/31/01,2001-12-31
UTAH,UTAH,UT,TENTH CIRCUIT,0,12/31/01,2001-12-31
WYOMING,WYOMING,WY,TENTH CIRCUIT,0,12/31/01,2001-12-31
,TOTAL,,ELEVENTH CIRCUIT,2,12/31/01,2001-12-31
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,0,12/31/01,2001-12-31
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,0,12/31/01,2001-12-31
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,0,12/31/01,2001-12-31
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,0,12/31/01,2001-12-31
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,0,12/31/01,2001-12-31
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,12/31/01,2001-12-31
