STATE,DISTRICT,DISTRICT_NS,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,QTR_ENDED,DATE,FISCAL_YEAR
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,19205,10193,261,11,8740,724,287,225,11,201,18481,9906,36,8539,09/30/97,1997-09-30,1997
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,17587,9278,192,11,8106,668,319,175,11,163,16919,8959,17,7943,09/30/97,1997-09-30,1997
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,9425,8167,27,3,1228,273,200,26,3,44,9152,7967,1,1184,09/30/97,1997-09-30,1997
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,11763,9355,47,5,2356,180,115,47,5,13,11583,9240,0,2343,09/30/97,1997-09-30,1997
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,26163,19273,253,13,6624,650,338,244,13,55,25513,18935,9,6569,09/30/97,1997-09-30,1997
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,11720,8615,83,14,3008,505,284,82,14,125,11215,8331,1,2883,09/30/97,1997-09-30,1997
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,25329,20734,79,10,4506,494,320,76,10,88,24835,20414,3,4418,09/30/97,1997-09-30,1997
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,26947,20089,112,8,6738,549,327,107,8,107,26398,19762,5,6631,09/30/97,1997-09-30,1997
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,16320,8138,59,8,8115,416,182,56,8,170,15904,7956,3,7945,09/30/97,1997-09-30,1997
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,12599,6569,115,2,5913,497,232,108,2,155,12102,6337,7,5758,09/30/97,1997-09-30,1997
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,24223,5679,77,3,18463,191,71,66,3,50,24032,5608,11,18413,09/30/97,1997-09-30,1997
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,43237,32020,274,0,10942,832,526,257,0,48,42405,31494,17,10894,09/30/97,1997-09-30,1997
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,12347,10743,28,20,1556,364,270,28,20,46,11983,10473,0,1510,09/30/97,1997-09-30,1997
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,6783,5041,23,5,1714,593,442,23,5,123,6190,4599,0,1591,09/30/97,1997-09-30,1997
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,13037,11213,55,7,1762,215,131,53,7,24,12822,11082,2,1738,09/30/97,1997-09-30,1997
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,22475,18706,95,10,3664,483,311,91,10,71,21992,18395,4,3593,09/30/97,1997-09-30,1997
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,12464,10426,23,7,2008,374,292,23,7,52,12090,10134,0,1956,09/30/97,1997-09-30,1997
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,6197,5600,60,25,512,860,702,57,25,76,5337,4898,3,436,09/30/97,1997-09-30,1997
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,9808,4962,42,7,4797,282,132,41,7,102,9526,4830,1,4695,09/30/97,1997-09-30,1997
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,5452,3525,23,11,1893,245,125,19,11,90,5207,3400,4,1803,09/30/97,1997-09-30,1997
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,3950,3782,14,9,145,247,202,14,9,22,3703,3580,0,123,09/30/97,1997-09-30,1997
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,5839,5250,18,5,566,308,257,17,5,29,5531,4993,1,537,09/30/97,1997-09-30,1997
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,20248,15321,82,22,4823,2486,1846,82,22,536,17762,13475,0,4287,09/30/97,1997-09-30,1997
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,14380,8702,59,3,5616,315,200,57,3,55,14065,8502,2,5561,09/30/97,1997-09-30,1997
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,10774,9194,73,12,1495,440,273,70,12,85,10334,8921,3,1410,09/30/97,1997-09-30,1997
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,5835,4807,19,55,952,281,163,17,55,44,5554,4644,2,908,09/30/97,1997-09-30,1997
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,1895,1765,8,45,77,167,99,7,45,16,1728,1666,1,61,09/30/97,1997-09-30,1997
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,2247,2061,17,34,135,233,141,17,34,41,2014,1920,0,94,09/30/97,1997-09-30,1997
ALASKA,ALASKA,AK,NINTH CIRCUIT,1361,1222,20,0,119,159,101,19,0,39,1202,1121,1,80,09/30/97,1997-09-30,1997
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,24534,18920,307,7,5299,868,447,275,7,138,23666,18473,32,5161,09/30/97,1997-09-30,1997
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,34559,24914,338,1,9304,2200,1095,273,1,829,32359,23819,65,8475,09/30/97,1997-09-30,1997
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,36080,30649,175,35,5219,2608,1711,161,35,699,33472,28938,14,4520,09/30/97,1997-09-30,1997
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,115686,94091,946,7,20641,6189,4328,787,7,1066,109497,89763,159,19575,09/30/97,1997-09-30,1997
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,19159,14314,104,1,4740,231,142,73,1,15,18928,14172,31,4725,09/30/97,1997-09-30,1997
HAWAII,HAWAII,HI,NINTH CIRCUIT,4161,3702,50,0,409,189,121,45,0,23,3972,3581,5,386,09/30/97,1997-09-30,1997
IDAHO,IDAHO,ID,NINTH CIRCUIT,6604,5028,38,40,1498,514,282,35,40,157,6090,4746,3,1341,09/30/97,1997-09-30,1997
MONTANA,MONTANA,MT,NINTH CIRCUIT,3379,2582,25,23,749,267,139,20,23,85,3112,2443,5,664,09/30/97,1997-09-30,1997
NEVADA,NEVADA,NV,NINTH CIRCUIT,12896,9160,175,2,3556,429,180,169,2,75,12467,8980,6,3481,09/30/97,1997-09-30,1997
OREGON,OREGON,OR,NINTH CIRCUIT,18044,14404,48,5,3587,1082,758,46,5,273,16962,13646,2,3314,09/30/97,1997-09-30,1997
